S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5048.0,KHAN BROTHERS,INR,4784893.2,Directorate of Agriculture and Assam Seed Corporation,2016_DAASC_1013_1,T-10(F)/2016-17,THE SUPPLY OF HYBRID SEEDS Group-B,Juri Phukan,Internal,P K HAZARIKA B K GOHAIN JOYMAL BARMAN MP ROWNIER DILIP BARUAH A JALIL BINIMOY RAJKHOWA,Abdul Jalil,03-Oct-2016 05:24 PM,04-Oct-2016 12:00 PM,techsummary_1627.pdf (1585.03 KB),JURI PHUKAN,Internal,P K HAZARIKA JOYMAL BARMAN M P ROWNIER BINIMOY RAJKHOWA MD ABDUL JALIL BANI BORGOHAIN DILIP BARUAH,Binimoy Rajkhowa,01-Nov-2016 04:15 PM,finsummary_1627.pdf (5851.62 KB),Finance,Financial summary of Group B,Binimoy Rajkhowa,31-Oct-2016 05:03 PM,finance_1627.pdf,02-Aug-2017,INR 310458173.06,365.0,Abdul Jalil,07-Aug-2017 12:02 PM,seed.pdf (4986.00 KB),1,5124,Allied Agro Chemicals and Implements,12-Sep-2016 07:41 PM,Accepted-AOC,,07-Aug-2017 12:02 PM,Technical,Technical bid opening summary,Abdul Jalil,03-Oct-2016 05:20 PM,technical_1627.pdf,AOC,1.0,DD - Demand Draft,0.0,No,fixed,,Nil,Nil,Directorate of Agriculture and Assam Seed Corporation,T-10(F)/2016-17,2016_DAASC_1013_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Fee,"1,000","Managing Director, Assam Seeeds Corporation Ltd",Guwahati,No,"Managing Director, ASC","Assam Seeds Corporation Ltd, Khanapara, Guwahati-22",1.0,corrigendum for extension of date,Date,,31-Aug-2016 05:10 PM,17-Sep-2016 03:00 PM,31-Aug-2016 05:10 PM,17-Sep-2016 03:00 PM,NA ,NA ,31-Aug-2016 05:10 PM,17-Sep-2016 03:00 PM,04-Oct-2016 12:00 PM,THE SUPPLY OF HYBRID SEEDS Group-B,THE SUPPLY OF HYBRID SEEDS Group-B,Please refer Tender Document ,NA ,0.0,Miscellaneous Goods,Hybrid Seeds ,Tender,90.0,365.0,Assam and North Eastern States,781022.0,Guwahati ,Conference Hall Farmer s Hostel Agriculture Campus Khanapara Guwahati-22 ,07-Sep-2016 12:30 PM ,"Conference Hall, Farmer s Hostel, Agril Campus Ghy",No ,No,AOC
2.0,5067.0,Rasi Seeds Private Limited,INR,21680600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5129,ALLIED CROP CARE PVT. LTD.,16-Sep-2016 11:18 PM,Accepted-AOC,,07-Aug-2017 12:02 PM,,,,,,AOC,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security,,,,,,,2.0,corrigendum cum addendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,5086.0,M/S S.S. ASSOCIATES,INR,3980340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5312,Asomi Enterprise,16-Sep-2016 09:16 PM,Accepted-AOC,,07-Aug-2017 12:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,5091.0,Savannah Seeds Pvt Ltd,INR,24070000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5407,BALAJI ENTERPRISE,17-Sep-2016 05:21 AM,Accepted-AOC,,07-Aug-2017 12:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,5096.0,JK AGRI GENETICS LTD.,INR,22775000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5253,balaji suppliers,16-Sep-2016 02:03 PM,Accepted-AOC,,07-Aug-2017 12:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Bid Form and Price Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,5098.0,R & D ASSOCIATES,INR,25372256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5186,Bayer CropScience Ltd,15-Sep-2016 01:21 PM,Accepted-AOC,,07-Aug-2017 12:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,5124.0,Allied Agro Chemicals and Implements,INR,15953042.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5303,BIO-CARE ASSOCIATES,16-Sep-2016 07:36 PM,Accepted-AOC,,07-Aug-2017 12:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8.0,5129.0,ALLIED CROP CARE PVT. LTD.,INR,7241850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5220,BSM AGENCY,17-Sep-2016 03:31 AM,Not Admitted-Finance,accepted,31-Oct-2016 05:03 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9.0,5186.0,Bayer CropScience Ltd,INR,2487500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5213,Darjeeling Gardens Pvt Ltd,17-Sep-2016 04:47 AM,Accepted-AOC,,07-Aug-2017 12:02 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10.0,5197.0,PARIPOSA SEEDS INDIA PVT LTD,INR,4590400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5439,DD Enterprise,17-Sep-2016 08:51 AM,Not Admitted-Fee/PreQual/Technical,,03-Oct-2016 05:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
