Block,DISTRICT,FID0
Lahaul,Lahaul & Spiti,0
Baijnath,Kangra,1
Nurpur,Kangra,2
Rait,Kangra,3
Kangra,Kangra,4
Nagrota Surian,Kangra,5
Nagrota Bagwan,Kangra,6
Fatehpur,Kangra,7
Bhawarna,Kangra,8
Kullu,Kullu,9
Panchrukhi,Kangra,10
Sulah,Kangra,11
Drang,Mandi,12
Chauntra,Mandi,13
Dehra,Kangra,14
Lambagaon,Kangra,15
Pooh,Kinnaur,16
Pragpur,Kangra,17
Bamsan,Hamirpur,18
Sujanpur,Hamirpur,19
Dharampur (M),Mandi,20
Banjar,Kullu,21
Amb,Una,22
Gagret,Una,23
Sadar,Mandi,24
Nadaun,Hamirpur,25
Gopalpur,Mandi,26
Hamirpur,Hamirpur,27
Seraj,Mandi,28
Bangana,Una,29
Rampur,Shimla,30
Balh,Mandi,31
Bhoranj,Hamirpur,32
Gohar,Mandi,33
Nirmand,Kullu,34
Bijhari,Hamirpur,35
Ghumarwin,Bilaspur,36
Sundernagar,Mandi,37
Una,Una,38
Ani,Kullu,39
Jhandutta,Bilaspur,40
Karsog,Mandi,41
Bilaspur,Bilaspur,42
Narkanda,Shimla,43
Rohru,Shimla,44
Theog,Shimla,45
Jubbal,Shimla,46
Nalagarh,Solan,47
Shimla (Urban),Shimla,48
Solan,Solan,49
Dharampur (S),Solan,50
Chopal,Shimla,51
Rajgarh,Sirmour,52
Pachhad,Sirmour,53
Sangrah,Sirmour,54
Shillai,Sirmour,55
Nahan,Sirmour,56
Paonta Sahib,Sirmour,57
Basantpur,Shimla,58
Kunihar,Solan,59
Naggar,Kullu,60
Mashobra,Shimla,61
Pangi,Chamba,62
Tissa,Chamba,63
Saluni,Chamba,64
Chamba,Chamba,65
Bharmour,Chamba,66
Mehla,Chamba,67
Bhatiyat,Chamba,68
Dharamshala,Kangra,69
Kandaghat,Solan,70
Haroli,Una,71
Kalpa,Kinnaur,72
Chirgaon,Shimla,73
Nichar,Kinnaur,74
Spiti,Lahaul & Spiti,75
Indora,Kangra,76
