Date,object_id,revenue_ci,District,Number of damages
2023-06-14,150,Dhemaji,DHEMAJI,1
2023-07-18,150,Dhemaji,DHEMAJI,1
2023-06-17,138,Chariduar,SONITPUR,1
2023-06-18,140,Na-Duar,SONITPUR,1
2023-06-18,138,Chariduar,SONITPUR,1
2023-06-30,138,Chariduar,SONITPUR,6
2023-06-21,270,Dalgaon,DARRANG,1
2023-06-19,270,Dalgaon,DARRANG,1
2023-06-19,269,Mangaldoi,DARRANG,1
2023-06-20,101,Gossaigaon,KOKRAJHAR,1
2023-06-25,103,Dotoma,KOKRAJHAR,1
2023-06-23,105,Bagribari,KOKRAJHAR,1
2023-06-21,105,Bagribari,KOKRAJHAR,3
2023-06-19,105,Bagribari,KOKRAJHAR,4
2023-06-19,103,Dotoma,KOKRAJHAR,1
2023-06-21,122,Barpeta,BARPETA,1
2023-06-27,121,Baghbor,BARPETA,1
2023-06-20,122,Barpeta,BARPETA,1
2023-07-13,123,Sarthebari,BARPETA,1
2023-06-23,121,Baghbor,BARPETA,3
2023-07-05,202,Manikpur,BONGAIGAON,1
2023-07-17,202,Manikpur,BONGAIGAON,1
2023-06-20,202,Manikpur,BONGAIGAON,1
2023-06-25,200,Srijangram,BONGAIGAON,2
2023-06-21,260,Baganpara,BAKSA,1
2023-06-22,226,Nalbari,NALBARI,1
2023-06-23,226,Nalbari,NALBARI,1
2023-06-21,226,Nalbari,NALBARI,1
2023-06-22,251,Gohpur,BISWANATH,1
2023-07-10,250,Halem,BISWANATH,1
2023-06-22,112,Dhubri,DHUBRI,1
2023-06-24,112,Dhubri,DHUBRI,1
2023-06-23,112,Dhubri,DHUBRI,7
2023-06-23,265,Sarupeta,BAJALI,2
2023-07-11,172,Bokakhat,GOLAGHAT,2
