,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,"NDRF, SDRF",,,5,6,0,0,0,0,19-06-2022
1,,Barpeta,"NDRF, SDRF, Circle Office/Local Administration, Local People",,,49,728,26420,0,0,2,19-06-2022
2,,Bongaigaon,"Local People, Country Boat, Engine Boat, Circle Office/Local Administration, NDRF",,,29,0,0,0,0,16,19-06-2022
3,,Cachar,"Circle Office/Local Administration, Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Police, NDRF, SDRF, Water Resources Department",,,13,95,12,0,0,6,19-06-2022
4,,Chirang,,,,3,0,0,0,0,8,19-06-2022
5,,Darrang,"Army/Paramilitary force, Local People, SDRF, Civil Defence/Trained Volunteers, NDRF",,,19,1360,80,0,0,18,19-06-2022
6,,Dhemaji,,,,1,0,0,0,0,2,19-06-2022
7,,Dhubri,"Circle Office/Local Administration, Police, SDRF, CHOTOGUMA GP",,,10,119,154,0,0,8,19-06-2022
8,,Dibrugarh,"NDRF, SDRF",,,4,0,0,0,0,0,19-06-2022
9,,Dima-Hasao,"Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Police, SDRF, Water Resources Department, PWD (R&B), NHAI",,,0,0,0,0,0,15,19-06-2022
10,,Goalpara,,,,0,0,0,0,0,17,19-06-2022
11,,Hojai,"Army/Paramilitary force, Local People, NDRF, SDRF, Fire & Emergency Services (F&ES), Country Boat",,,54,2145,152,0,0,1,19-06-2022
12,,Kamrup,"Circle Office/Local Administration, Fire & Emergency Services (F&ES), NDRF, SDRF, Army/Paramilitary force",,,23,964,0,0,0,12,19-06-2022
13,,Kamrup (M),"Circle Office/Local Administration, Local People, SDRF, GMC, Police",,,1,0,0,0,0,0,19-06-2022
14,,Karimganj,"Local People, SDRF",,,11,418,25,0,0,0,19-06-2022
15,,Kokrajhar,,,,4,0,0,0,0,4,19-06-2022
16,,Morigaon,2 Machine Boat deployed and presently standby for emergency situation,,,2,0,0,0,0,0,19-06-2022
17,,Nagaon,"Fire & Emergency Services (F&ES), SDRF, Circle Office/Local Administration, Local People",,,20,2412,306,0,0,8,19-06-2022
18,,Nalbari,"SDRF, NDRF, Army/Paramilitary force",,,6,157,33,0,0,15,19-06-2022
19,,Sonitpur,NDRF,,,2,250,0,0,0,2,19-06-2022
20,,South Salmara,Circle Office/Local Administration,,,2,24,51,0,0,0,19-06-2022
21,,Tamulpur,"Army/Paramilitary force, NDRF, SDRF",,,5,74,0,0,0,1,19-06-2022
22,,Udalguri,"Fire & Emergency Services (F&ES), NDRF",,,3,8,0,0,0,0,19-06-2022
23,,Total,,,,266,8760,27233,0,0,135,19-06-2022
