,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopter,Medical Team Deployed,Date
0,,,,,,,,,,s,,28-05-2022
1,,Dima-Hasao,"Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Water Resources Department",,,0,0,0,0,0,15,28-05-2022
2,,Morigaon,,,,0,0,0,0,0,2,28-05-2022
3,,Nagaon,,,,0,0,0,0,0,9,28-05-2022
4,,Total,,,,0,0,0,0,0,26,28-05-2022
