,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,"Army/Paramilitary force, Circle Office/Local Administration, NDRF, Police, SDRF",,,6,812,22,0,0,0,16-06-2022
1,,Baksa,"Fire & Emergency Services (F&ES), SDRF",,,5,50,0,0,0,3,16-06-2022
2,,Barpeta,"Circle Office/Local Administration, SDRF",,,2,11,0,0,0,0,16-06-2022
3,,Bongaigaon,"Local People, Engine Boat, Fire & Emergency Services (F&ES)",,,3,140,0,0,0,1,16-06-2022
4,,Darrang,"Local People, SDRF",,,4,3725,6500,0,0,1,16-06-2022
5,,Dhubri,"Fire & Emergency Services (F&ES), Local People, Circle Office/Local Administration, Police, SDRF",,,8,251,0,0,0,3,16-06-2022
6,,Dima-Hasao,"Civil Defence/Trained Volunteers, SDRF",,,1,0,0,0,0,15,16-06-2022
7,,Goalpara,"Fire & Emergency Services (F&ES), SDRF",,,1,15,0,0,0,0,16-06-2022
8,,Hojai,"Circle Office/Local Administration, Local People, SDRF",,,22,310,52,0,0,0,16-06-2022
9,,Kamrup,,,,0,0,0,0,0,2,16-06-2022
10,,Kamrup (M),"Circle Office/Local Administration, Fire & Emergency Services (F&ES), NDRF, Police, SDRF, Local People, GMC",,,6,0,0,0,0,3,16-06-2022
11,,Kokrajhar,,,,0,0,0,0,0,14,16-06-2022
12,,Lakhimpur,,,,0,0,0,0,0,4,16-06-2022
13,,Nalbari,"Army/Paramilitary force, SDRF",,,5,506,75,0,0,0,16-06-2022
14,,Tamulpur,,,,1,20,0,0 0 0,,,16-06-2022
15,,Total,,,,64,5840,6649,0 0 46,,,16-06-2022
