,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,NDRF,,,2,5,0,0,0,0,20-06-2022
1,,Barpeta,"Circle Office/Local Administration, Army/Paramilitary force, NDRF, SDRF, veterinary team deployed- 2 nos., camp conducted- 6 places(Amguri, Sutirpather, Kharballi, Bardanga, Jomerkur)",,,61,3894,25141,0,0,2,20-06-2022
2,,Bongaigaon,"Circle Office/Local Administration, Local People, Country Boat, Engine Boat",19,0,0,0,0,1,,,20-06-2022
3,,Cachar,"Army/Paramilitary force, Circle Office/Local Administration, Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Local People, NDRF, Police, SDRF, Water Resources Department",14,654,6,0,0,19,,,20-06-2022
4,,Chirang,,3,0,0,0,0,11,,,20-06-2022
5,,Darrang,"Army/Paramilitary force, Local People, NDRF, SDRF, Civil Defence/Trained Volunteers, Police",21,500,0,0,0,12,,,20-06-2022
6,,Dhubri,Circle Office/Local Administration,31,172,182,0,0,8,,,20-06-2022
7,,Dima-Hasao,"Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Police, SDRF, NHAI, PWRD",0,0,0,0,0,15,,,20-06-2022
8,,Goalpara,,0,0,0,0,0,19,,,20-06-2022
9,,Hailakandi,,0,0,0,0,0,8,,,20-06-2022
10,,Hojai,"Army/Paramilitary force, Fire & Emergency Services (F&ES), Country Boats, Local People, NDRF, SDRF",51,2357,412,0,0,12,,,20-06-2022
11,,Kamrup,"Circle Office/Local Administration, Fire & Emergency Services (F&ES), Local People, NDRF, SDRF, Army/Paramilitary force, Assam Mountain Association",28,448,60,0,0,28,,,20-06-2022
12,,Karimganj,SDRF,15,325,4,0,0,5,,,20-06-2022
13,,Lakhimpur,,0,0,0,0,0,5,,,20-06-2022
14,,Morigaon,2 Machine boat deployed for relief material distribution,2,0,0,0,0,5,,,20-06-2022
15,,Nagaon,"Fire & Emergency Services (F&ES), SDRF, Circle Office/Local Administration, Local People",24,2618,1164,0,0,9,,,20-06-2022
16,,Nalbari,"NDRF, SDRF, Circle Office/Local Administration, Army/Paramilitary force",9,192,33,0,0,13,,,20-06-2022
17,,Sonitpur,,0,0,0,0,0,3,,,20-06-2022
18,,South Salmara,Circle Office/Local Administration,8,127,84,0,0,0,,,20-06-2022
19,,Tamulpur,"NDRF, SDRF, Rescue operation done by NDRF on 19/6/22 village Borbilla persons rescued 46",3,0,0,0,0,0,,,20-06-2022
20,,Udalguri,"Fire & Emergency Services (F&ES), NDRF, Local",4,0,0,0,0,11,,,20-06-2022
21,,,"People, SDRF",,,,,,,,,20-06-2022
22,,Total,,,,295,11292,27086,0 0 186,,,20-06-2022
