,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,,,,0,0,0,0,0,2,06-07-2022
1,,Barpeta,Veterinary dept organized 1 no of treatment camp at Aprupi Muhia Milan Bazar on 05/06/22,,,0,0,0,0,0,0,06-07-2022
2,,Darrang,,,,0,0,0,0,0,3,06-07-2022
3,,Dibrugarh,,,,0,0,0,0,0,7,06-07-2022
4,,Dima-Hasao,"Civil Defence/Trained Volunteers, PWD, NHAI, PHE",,,0,0,0,0,0,15,06-07-2022
5,,Karimganj,,,,2,0,0,0,0,6,06-07-2022
6,,Majuli,,,,0,0,0,0,0,1,06-07-2022
7,,Morigaon,,,,0,0,0,0,0,7,06-07-2022
8,,Nagaon,,,,0,0,0,0,0,19,06-07-2022
9,,Sonitpur,,,,0,0,0,0,0,3,06-07-2022
10,,Total,,,,2,0,0,0,0,63,06-07-2022
