,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,"Army/Paramilitary force, NDRF, SDRF",,,7,280,0,0,0,0,17-06-2022
1,,Baksa,"Army/Paramilitary force, Fire & Emergency Services (F&ES), SDRF",,,5,255,0,0,0,1,17-06-2022
2,,Barpeta,"NDRF, Circle Office/Local Administration, SDRF",,,4,102,0,0,0,2,17-06-2022
3,,Bongaigaon,"Local People, SDRF, Country Boat, Engine Boat, Circle Office/Local Administration, NDRF",,,31,377,678,0,0,0,17-06-2022
4,,Chirang,,,,0,0,0,0,0,1,17-06-2022
5,,Darrang,"NDRF, SDRF, Fire & Emergency Services (F&ES)",,,10,680,250,0,0,4,17-06-2022
6,,Dhemaji,Fire & Emergency Services (F&ES),,,1,0,0,0,0,0,17-06-2022
7,,Dhubri,"Fire & Emergency Services (F&ES), Circle Office/Local Administration, Police, SDRF",,,5,383,586,0,0,1,17-06-2022
8,,Dima-Hasao,"Circle Office/Local Administration, Fire & Emergency Services (F&ES), Police, SDRF, Water Resources Department",,,1,44,23,0,0,15,17-06-2022
9,,Goalpara,"Fire & Emergency Services (F&ES), SDRF",,,4,68,41,0,0,14,17-06-2022
10,,Hojai,"SDRF, Local country Boat, Local People, NDRF, Country Boats",,,47,2506,127,0,0,0,17-06-2022
11,,Kamrup,"Circle Office/Local Administration, Fire & Emergency Services (F&ES), NDRF, SDRF",,,7,103,0,0,0,7,17-06-2022
12,,Kamrup (M),"Circle Office/Local Administration, Fire & Emergency Services (F&ES), Local People, NDRF, Police, SDRF, GMC",,,1,0,0,0,0,3,17-06-2022
13,,Karbi Anglong West,SDRF,,,2,0,0,0,0,0,17-06-2022
14,,Kokrajhar,"Fire & Emergency Services (F&ES), SDRF",,,3,135,6,0,0,19,17-06-2022
15,,Lakhimpur,,,,0,0,0,0,0,4,17-06-2022
16,,Nagaon,"Fire & Emergency Services (F&ES), SDRF",,,1,120,0,0,0,0,17-06-2022
17,,Nalbari,"Fire & Emergency Services (F&ES), NDRF, SDRF, Army/Paramilitary force",,,10,557,107,0,0,24,17-06-2022
18,,Sonitpur,"SDRF, NDRF",,,8,294,0,0,0,2,17-06-2022
19,,South Salmara,,,,0,0,0,0,0,1,17-06-2022
20,,Tamulpur,"NDRF, NGO, Fire & Emergency Services (F&ES), SDRF",,,7,112,0,0,0,1,17-06-2022
21,,Udalguri,Fire & Emergency Services (F&ES),,,2,25,0,0,0,0,17-06-2022
22,,Total,,,,156,6041,1818,0,0,99,17-06-2022
