,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,,,,0,0,0,0,0,2,05-07-2022
1,,Barpeta,Veterinary dept. organized 1 no of treatment camp at Guileza vill of Rupshi under Kalgachia Rev Circle .,,,0,0,0,0,0,0,05-07-2022
2,,Chirang,,,,0,0,0,0,0,3,05-07-2022
3,,Darrang,,,,0,0,0,0,0,5,05-07-2022
4,,Dibrugarh,,,,0,0,0,0,0,18,05-07-2022
5,,Dima-Hasao,Civil Defence/Trained Volunteers,,,0,0,0,0,0,15,05-07-2022
6,,Goalpara,,,,0,0,0,0,0,1,05-07-2022
7,,Hailakandi,,,,0,0,0,0,0,5,05-07-2022
8,,Karimganj,,,,3,0,0,0,0,4,05-07-2022
9,,Majuli,,,,0,0,0,0,0,1,05-07-2022
10,,Morigaon,,,,0,0,0,0,0,10,05-07-2022
11,,Nagaon,,,,0,0,0,0,0,17,05-07-2022
12,,Sonitpur,,,,0,0,0,0,0,3,05-07-2022
13,,Total,,,,3,0,0,0,0,84,05-07-2022
