,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,,,,0,0,0,0,0,5,26-06-2022
1,,Barpeta,Circle Office/Local Administration,,,45,0,0,0,0,10,26-06-2022
2,,Bongaigaon,,,,0,0,0,0,0,3,26-06-2022
3,,Cachar,"Army/Paramilitary force, Circle Office/Local Administration, Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Inland Water Transport, Local People, NDRF, Police, SDRF, Water Resources Department",,,68,1765,0,1,0,28,26-06-2022
4,,Chirang,,,,1,0,0,0,0,3,26-06-2022
5,,Darrang,,,,6,0,0,0,0,20,26-06-2022
6,,Dhubri,Circle Office/Local Administration,,,12,0,0,0,0,3,26-06-2022
7,,Dima-Hasao,"Civil Defence/Trained Volunteers, SDRF, PWRD, NHAI",,,0,0,0,0,0,15,26-06-2022
8,,Goalpara,,,,0,0,0,0,0,7,26-06-2022
9,,Hailakandi,,,,1,0,0,0,0,0,26-06-2022
10,,Hojai,,,,0,0,0,0,0,5,26-06-2022
11,,Kamrup,"Army/Paramilitary force, SDRF",,,7,130,25,0,0,8,26-06-2022
12,,Karimganj,,,,7,0,0,0,0,11,26-06-2022
13,,Majuli,,,,0,0,0,0,0,2,26-06-2022
14,,Morigaon,2 Machine boat deployed for emergency situation,,,2,0,0,0,0,12,26-06-2022
15,,Nagaon,"Circle Office/Local Administration, Local People, NDRF, SDRF",,,5,0,0,0,0,34,26-06-2022
16,,Sonitpur,,,,0,0,0,0,0,4,26-06-2022
17,,South Salmara,Circle Office/Local Administration,,,9,17,0,0,0,11,26-06-2022
18,,Total,,,,163,1912,25,1,0,181,26-06-2022
