,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,,,,0,0,0,0,0,1,28-06-2022
1,,Biswanath,NDRF,,,5,71,0,0,0,2,28-06-2022
2,,Bongaigaon,"Local People, Country Boat",,,1,0,0,0,0,2,28-06-2022
3,,Cachar,"Circle Office/Local Administration, Fire & Emergency Services (F&ES), Local People, Police, Civil Defence/Trained Volunteers,",,,36,810,0,2,0,31,28-06-2022
4,,,"Inland Water Transport, Army/Paramilitary force, NDRF, SDRF",,,,,,,,,28-06-2022
5,,Chirang,"Fire & Emergency Services (F&ES), SDRF",,,3,0,0,0,0,5,28-06-2022
6,,Darrang,,,,0,0,0,0,0,28,28-06-2022
7,,Dima-Hasao,"Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Water Resources Department, PWRD, NHAI, APDCL",,,0,0,0,0,0,15,28-06-2022
8,,Goalpara,,,,0,0,0,0,0,5,28-06-2022
9,,Hailakandi,,,,0,0,0,0,0,10,28-06-2022
10,,Kamrup,,,,0,0,0,0,0,2,28-06-2022
11,,Karimganj,,,,5,0,0,0,0,11,28-06-2022
12,,Morigaon,,,,0,0,0,0,0,12,28-06-2022
13,,Nagaon,"Circle Office/Local Administration, Local People, SDRF",,,2,0,0,0,0,26,28-06-2022
14,,Sonitpur,,,,0,0,0,0,0,4,28-06-2022
15,,Total,,,,52,881,0,2,0,154,28-06-2022
