,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,,,,0,0,0,0,0,13,02-07-2022
1,,Barpeta,"Veterinary dept- 4 nos of treatment camp organised at Guileza,Bardanga,Haldhia Gaon,Balaipather",,,0,0,0,0,0,0,02-07-2022
2,,Biswanath,,,,0,0,0,0,0,1,02-07-2022
3,,Bongaigaon,,,,0,0,0,0,0,2,02-07-2022
4,,Cachar,"Circle Office/Local Administration, Civil Defence/Trained Volunteers,",,,3,54,0,0,0,42,02-07-2022
5,,Cachar,"Fire & Emergency Services (F&ES), NDRF, SDRF",,,,,,,,,02-07-2022
6,,Chirang,,,,0,0,0,0,0,4,02-07-2022
7,,Darrang,,,,1,0,0,0,0,21,02-07-2022
8,,Dhemaji,,,,0,0,0,0,0,2,02-07-2022
9,,Dibrugarh,,,,0,0,0,0,0,8,02-07-2022
10,,Dima-Hasao,"Civil Defence/Trained Volunteers, Police, PWRD, NHAI, APDCL",,,0,0,0,0,0,15,02-07-2022
11,,Goalpara,,,,0,0,0,0,0,2,02-07-2022
12,,Golaghat,,,,0,0,0,0,0,1,02-07-2022
13,,Hailakandi,,,,0,0,0,0,0,24,02-07-2022
14,,Hojai,,,,0,0,0,0,0,3,02-07-2022
15,,Kamrup,,,,0,0,0,0,0,2,02-07-2022
16,,Majuli,,,,0,0,0,0,0,6,02-07-2022
17,,Morigaon,10 Boat deployed for relief material distribtution.,,,10,0,0,0,0,15,02-07-2022
18,,Nagaon,"Circle Office/Local Administration, Local People, SDRF",,,1,0,0,0,0,24,02-07-2022
19,,Sonitpur,,,,0,0,0,0,0,4,02-07-2022
20,,Total,,,,15,54,0,0,0,189,02-07-2022
