,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,SDRF,,,1,0,0,0,0,0,21-06-2022
1,,Barpeta,"NDRF, SDRF, Army/Paramilitary force, Circle Office/Local Administration",,,44,546,124,0,0,27,21-06-2022
2,,Bongaigaon,"Local People, Country Boat, Circle Office/Local Administration",,,18,0,0,0,0,7,21-06-2022
3,,Cachar,"Army/Paramilitary force, Circle Office/Local Administration, Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Local People, NDRF, Police, SDRF, Water Resources Department",,,18,515,16,0,0,18,21-06-2022
4,,Chirang,,,,2,0,0,0,0,6,21-06-2022
5,,Darrang,"Army/Paramilitary force, Local People, NDRF, SDRF, Circle Office/Local Administration",,,16,500,0,0,0,4,21-06-2022
6,,Dhemaji,Fire & Emergency Services (F&ES),,,10,0,0,0,0,0,21-06-2022
7,,Dhubri,"Circle Office/Local Administration, Army/Paramilitary force",,,46,143,172,0,0,10,21-06-2022
8,,Dima-Hasao,"Civil Defence/Trained Volunteers, Police, Water Resources Department, NHAI, PWRD",,,0,0,0,0,0,15,21-06-2022
9,,Goalpara,,,,0,0,0,0,0,18,21-06-2022
10,,Hojai,"Army/Paramilitary force, NDRF, SDRF, Country Boats",,,33,0,0,0,0,21,21-06-2022
11,,Kamrup,"Fire & Emergency Services (F&ES), SDRF, Mountain Association, Army/Paramilitary force, NDRF",,,20,586,30,0,0,27,21-06-2022
12,,Karimganj,"SDRF, Local People",,,11,100,45,0,0,1,21-06-2022
13,,Lakhimpur,,,,0,0,0,0,0,2,21-06-2022
14,,Majuli,,,,0,0,0,0,0,14,21-06-2022
15,,Morigaon,"10 machine boat deployed for relief distribution., Fire & Emergency Services (F&ES)",,,13,103,116,0,0,3,21-06-2022
16,,Nagaon,"Fire & Emergency Services (F&ES), SDRF, Circle Office/Local Administration, Local People",,,14,1038,0,0,0,18,21-06-2022
17,,Nalbari,"Circle Office/Local Administration, SDRF",,,4,7,80,0,0,11,21-06-2022
18,,Sonitpur,,,,2,0,0,0,0,3,21-06-2022
19,,South Salmara,Circle Office/Local Administration,,,25,113,150,0,0,3,21-06-2022
20,,Udalguri,"Fire & Emergency Services (F&ES), SDRF",,,1,1,0,0,0,5,21-06-2022
21,,Total,,,,278,3652,733,0,0,213,21-06-2022
