,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,,,,0,0,0,0,0,3,03-07-2022
1,,Barpeta,"Veterinary department organised 3 nos of Treatmaent camps at 1.Mowamari,2.Besimari,3.Dhakaliapara",,,0,0,0,0,0,0,03-07-2022
2,,Cachar,,,,0,0,0,0,0,17,03-07-2022
3,,Chirang,,,,0,0,0,0,0,3,03-07-2022
4,,Darrang,,,,0,0,0,0,0,7,03-07-2022
5,,Dibrugarh,,,,0,0,0,0,0,13,03-07-2022
6,,Dima-Hasao,"Civil Defence/Trained Volunteers, Water Resources Department, PWRD, APDCL",,,0,0,0,0,0,15,03-07-2022
7,,Goalpara,,,,0,0,0,0,0,2,03-07-2022
8,,Golaghat,,,,0,0,0,0,0,1,03-07-2022
9,,Hailakandi,,,,0,0,0,0,0,32,03-07-2022
10,,Hojai,,,,0,0,0,0,0,3,03-07-2022
11,,Lakhimpur,,,,0,0,0,0,0,1,03-07-2022
12,,Majuli,,,,0,0,0,0,0,2,03-07-2022
13,,Morigaon,2 Machine boat for emergency situation,,,2,0,0,0,0,5,03-07-2022
14,,Nagaon,"Circle Office/Local Administration, Local People, SDRF",,,2,0,0,0,0,19,03-07-2022
15,,Sonitpur,,,,0,0,0,0,0,4,03-07-2022
16,,Total,,,,4,0,0,0,0,127,03-07-2022
