,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By,Helicopters Deployed,Person Evacuated By,Medical Team Deploye,Date
0,,,,,,,,Boats,,Helicopters,d,30-06-2022
1,,Bajali,,,,0,0,0,0,0,32,30-06-2022
2,,Barpeta,Circle Office/Local Administration,,,5,0,0,0,0,0,30-06-2022
3,,Biswanath,,,,0,0,0,0,0,1,30-06-2022
4,,Bongaigaon,,,,0,0,0,0,0,2,30-06-2022
5,,Cachar,"Circle Office/Local Administration, Army/Paramilitary force, Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Local People, NDRF, Police, SDRF",,,18,180,0,0,0,61,30-06-2022
6,,Chirang,,,,0,0,0,0,0,5,30-06-2022
7,,Darrang,,,,0,0,0,0,0,24,30-06-2022
8,,Dhemaji,SDRF,,,2,153,0,0,0,2,30-06-2022
9,,Dibrugarh,,,,0,0,0,0,0,6,30-06-2022
10,,Dima-Hasao,"Civil Defence/Trained Volunteers, Local People, Police, Water Resources Department, PWRD, APDCL, NHAI",,,0,0,0,0,0,15,30-06-2022
11,,Goalpara,,,,0,0,0,0,0,3,30-06-2022
12,,Kamrup,,,,0,0,0,0,0,2,30-06-2022
13,,Karimganj,,,,8,0,0,0,0,11,30-06-2022
14,,Lakhimpur,SDRF,,,1,2,0,0,0,2,30-06-2022
15,,Majuli,,,,0,0,0,0,0,3,30-06-2022
16,,Morigaon,,,,0,0,0,0,0,19,30-06-2022
17,,Nagaon,"Circle Office/Local Administration, Local People, SDRF",,,1,0,0,0,0,26,30-06-2022
18,,Sonitpur,,,,0,0,0,0,0,4,30-06-2022
19,,Total,,,,35,335,0,0,0,218,30-06-2022
