,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,,Date
0,,Dima-Hasao,"Civil Defence/Trained Volunteers, Local People, Water Resources Department",,,0,0,0,0,0,15,,19-07-2022
1,,Karimganj,,,,3,0,0,0,0,0,,19-07-2022
2,,Total,,,,3,0,0,0,0,15,,19-07-2022
