,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,,,,0,0,0,0,0,15,23-06-2022
1,,Barpeta,"Fire & Emergency Services (F&ES), NDRF, SDRF, Circle Office/Local Administration",,,39,472,0,0,0,16,23-06-2022
2,,Bongaigaon,"Circle Office/Local Administration, Local People, Fngine Boat",,,3,0,0,0,0,11,23-06-2022
3,,Cachar,"Circle Office/Local Administration, Fire & Emergency Services (F&ES), Local People, Police, Army/Paramilitary force, Civil Defence/Trained Volunteers, NDRF, SDRF",,,28,5401,7,1,0,17,23-06-2022
4,,Chirang,,,,3,0,0,0,0,5,23-06-2022
5,,Darrang,Local People,,,7,100,0,0,0,24,23-06-2022
6,,Dhemaji,Fire & Emergency Services (F&ES),,,2,0,0,0,0,0,23-06-2022
7,,Dhubri,Circle Office/Local Administration,,,68,131,124,0,0,7,23-06-2022
8,,Dima-Hasao,"Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Police, Water Resources Department, PWRD, NHAI, APDCL",,,0,0,0,0,0,15,23-06-2022
9,,Goalpara,,,,0,0,0,0,0,16,23-06-2022
10,,Hailakandi,SDRF,,,1,25,0,0,0,4,23-06-2022
11,,Hojai,"Local People, Fire & Emergency Services (F&ES)",,,11,0,0,0,0,15,23-06-2022
12,,Kamrup,"Army/Paramilitary force, SDRF, Assam Mointaineering Association, NDRF",,,17,215,30,0,0,25,23-06-2022
13,,Karimganj,,,,7,65,0,0,0,14,23-06-2022
14,,Lakhimpur,,,,0,0,0,0,0,3,23-06-2022
15,,Majuli,,,,0,0,0,0,0,4,23-06-2022
16,,Morigaon,2 Machine boat standby for emergency situation.,,,7,0,0,0,0,22,23-06-2022
17,,Nagaon,"Fire & Emergency Services (F&ES), SDRF, Circle Office/Local Administration, Local People, NDRF",,,13,136,0,0,0,22,23-06-2022
18,,Nalbari,Circle Office/Local,,,3,0,50,0,0,1,23-06-2022
19,,,Administration,,,,,,,,,23-06-2022
20,,Sonitpur,,,,0,0,0,0,0,4,23-06-2022
21,,South Salmara,Circle Office/Local Administration,,,32,56,93,0,0,8,23-06-2022
22,,Udalguri,,,,0,0,0,0,0,3,23-06-2022
23,,Total,,,,241,6601,304,1,0,251,23-06-2022
