,rescue operation,District,Agency,,,Boats Deployed,Person Evacuated By Boats,Animal Evacuated By Boats,Helicopters Deployed,Person Evacuated By Helicopters,Medical Team Deployed,Date
0,,Bajali,,,,0,0,0,0,0,3,27-06-2022
1,,Barpeta,Circle Office/Local Administration,,,19,0,0,0,0,2,27-06-2022
2,,Cachar,"Circle Office/Local Administration, Army/Paramilitary force, Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Local People, NDRF, Police, SDRF",,,35,0,0,0,0,10,27-06-2022
3,,Chirang,,,,1,0,0,0,0,3,27-06-2022
4,,Darrang,Civil Defence/Trained Volunteers,,,1,0,0,0,0,19,27-06-2022
5,,Dhemaji,,,,0,0,0,0,0,1,27-06-2022
6,,Dima-Hasao,"Civil Defence/Trained Volunteers, Fire & Emergency Services (F&ES), Police, Water Resources Department, NHAI, PWRD, PHE",,,0,0,0,0,0,15,27-06-2022
7,,Goalpara,,,,0,0,0,0,0,6,27-06-2022
8,,Hailakandi,,,,0,0,0,0,0,21,27-06-2022
9,,Kamrup,"Army/Paramilitary force, SDRF, Assam Mountain Assossiation",,,8,30,15,0,0,6,27-06-2022
10,,Karimganj,,,,90,15,0,0,0,5,27-06-2022
11,,Majuli,,,,0,0,0,0,0,3,27-06-2022
12,,Morigaon,,,,0,0,0,0,0,15,27-06-2022
13,,Nagaon,"NDRF, Circle Office/Local Administration, Local People, SDRF",,,6,0,0,0,0,41,27-06-2022
14,,Sonitpur,,,,0,0,0,0,0,4,27-06-2022
15,,Total,,,,160,45,15,0,0,154,27-06-2022
