,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Cachar,"0.00-Q, 2669.00-Pkt",,"0.00-Q, 1013.00-Pkt",,Mortien-3335.00-Pkt; Candle-3765.00-Pkt; Match Box-3588.00-Pkt; Soyabean-456.75-Kg; Potato -225.00-Kg; Tarpaulin-120.00-Pieces; candle-2840.00-Pkt; Potatos-8617.00-Pkt; Biscuit-2669.00-Pkt; Mortein-253.00-Pkt; Soyabin-37.95-Kg; Potatoes-782.00-Kg; M Coil-3017.00-Pkt; Match box-3017.00-Pkt; Potatos-2790.00-Kg,,,,,21-05-2022
1,,Darrang,0.00-Q,,"0.00-Q, 8.00-Pkt",,Tarpaulin-150.00-Q; Taurpaulin-500.00-Pieces,,,,,21-05-2022
2,,Dima-Hasao,0.00-Q,,0.00-Q,,Biscuit-190.00-Pkt; candle-70.00-Pkt; Match Box-36.00-Pieces; M Coil-38.00-Pkt; Soap-65.00-Pkt; Tarpalin-33.00-Pieces,,,,,21-05-2022
3,,Hailakandi,0.00-Q,,0.00-Q,,Phenyle-41000.00-ml; Soap-340.00-Pieces; Harpic-21000.00-ml; Tarpaulin-17.00-Pieces,,,,,21-05-2022
4,,Hojai,"6861.00-L, 0.00-Q",,"0.00-Pkt, 0.00-Q",,Water bottle-15405.00-L; Biscuts -6861.00-Pkt; Phynyl-5.00-Pieces; Water Bottle-200.00-Pieces; Bleaching Powder-1.00-Pieces; Amul -50.00-L,,,,,21-05-2022
5,,Kamrup,0.00-Q,,0.00-Q,,,,,,,21-05-2022
6,,Karbi Anglong West,0.00-Q,,0.00-Q,,,,,,,21-05-2022
7,,Karimganj,"141.00-Pkt, 0.00-Q",,"135.00-Pkt, 0.00-Q",,0-0.00-Q,,,,,21-05-2022
8,,Lakhimpur,0.00-Q,,0.00-Q,,,,,,,21-05-2022
9,,Morigaon,0.00-Q,,0.00-Q,,0-0.00-Q,,,,,21-05-2022
10,,Nagaon,"0.00-Q, 20000.00-ml",,"0.00-Q, 45.00-Pkt, 75.00-Kg",,Drinking Water-2500.00-Pkt; Bleaching-5.00-Pkt; Halogen Tab-4000.00-Pieces; Tarpaulin-1400.00-Pieces; Biscuit-400.00-Pkt; Milk-45.00-Pkt,,,,,21-05-2022
11,,Nalbari,0.00-Q,,0.00-Q,,,,,,,21-05-2022
12,,Sonitpur,0.00-Q,,0.00-Q,,,,,,,21-05-2022
13,,Udalguri,0.00-Q,,0.00-Q,,Sanitary Pad -31.00-Pkt,,,,,21-05-2022
