,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Cachar,0.00-Q,,0.00-Q,,Mortien-729.00-Pkt; Candle-729.00-Pkt; Match Box-729.00-Pkt; Soap-600.00-Pieces; Soyabean-109.35-Kg; Potato-2187.00-Kg,,,,,25-05-2022
1,,Darrang,0.00-Q,,0.00-Q,,,,,,,25-05-2022
2,,Dima-Hasao,0.00-Q,,413.00-Kg,,Potato-37.50-Q; Onion-5.90-Q; Turmeric-413.00-Kg; Biscuits-2016.00-Pkt; Candle-864.00-Pkt; Match Box-413.00-Pkt; Mosquito Repellent-826.00-Pkt,,,,,25-05-2022
3,,Hailakandi,0.00-Q,,0.00-Q,,,,,,,25-05-2022
4,,Hojai,0.00-Q,,0.00-Q,,Amul Taza-30.00-L; Water-84.00-L; Bleaching Powder-2.00-Pkt; Biscuit-240.00-Pkt; Phenyl-48.00-Pieces; Chira-0.25-Q,,,,,25-05-2022
5,,Kamrup,0.00-Q,,0.00-Q,,,,,,,25-05-2022
6,,Karbi Anglong West,0.00-Q,,0.00-Q,,,,,,,25-05-2022
7,,Karimganj,73.00-Pkt,,0.00-Q,,0-0.00-Q,,,,,25-05-2022
8,,Morigaon,0.00-Q,,0.00-Q,,,,,,,25-05-2022
9,,Nagaon,0.00-Q,,"0.00-Q, 60.00-Kg",,TUBE WELL-5.00-Pieces; MOSQUITO COIL-270.00-Pkt; CANDLE-270.00-Pkt; SANITARY NAPKIN-490.00-Pkt; PHYNEL-400.00-L; BLEACHING POWDER-580.00-Kg,,,,,25-05-2022
