,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Bajali,0.00-Q,,564.00-Pkt,,tarpaulin-10970.00-Pieces,,,,,22-06-2022
1,,Baksa,0.00-Q,,0.00-Q,,,,,,,22-06-2022
2,,Barpeta,0.00-Q,,"0.00-Q, 486.00-Pieces",,1. Candle Stick -3000.00-Pkt; 2. Mosquito Coil-3000.00-Pkt; Candle-502.00-Pkt; Tarpulin-1500.00-Pieces; Water Bottle-4800.00-ml; Mosquito Coil-1502.00-Pkt; Matchs Box-1102.00-Pkt; Biscuit -960.00-Pkt; Mosquito coil -3460.00-Pkt; Candle -1500.00-Pkt; Water bottle -9000.00-Pieces; Tarpaulin -2500.00-Pieces,,,,,22-06-2022
3,,Bongaigao,"0.00-Q, 1842.00-",,"0.00-Q, 3762.00-Pkt",,Bleaching Powder-29.00-Kg; Halogen Tablets-2015.00-Pkt;,,,,,22-06-2022
4,,n,Pkt,,Phenyl-8.00-Pkt; Temp. HTW-13.00-Pieces; Toilet-11.00-Pieces; Biscuit-765.00-Pkt; Amul Taza-765.00-Pkt; Sanitary Pad-180.00-Pkt; Mother Horlicks-22.00-Pkt; Halogen Tablet-1150.00-Pkt; Mobile Plant/ Pouches-6500.00-Pieces; Dustbin-2.00-Pieces; Sanitary Pads-172.00-Pkt; Horlicks-363.00-Pkt; Tarpoline-460.00-Pieces; phenyl -5.00-Pkt; Mosquito Coil-20.00-Pkt; Match Box-90.00-Pieces,,,,,,,22-06-2022
5,,Cachar,0.00-Q,0.00-Q,,,,,,,,22-06-2022
6,,Chirang,0.00-Q,0.00-Q,Tarpaulin-300.00-Pieces; Candle-150.00-Pkt; Match Box-15.00-Pkt; Mosquito Net-150.00-Pieces; Sanitary Pads-75.00-Pkt,,,,,,,22-06-2022
7,,Darrang,"0.00-Pkt, 0.00-Q","68.00-Kg, 0.00-Q",tarpaulin-5000.00-Pieces; candles-800.00-Pkt; 0-0.00-Q,,,,,,,22-06-2022
8,,Dhubri,"93.00-Pkt, 0.00-Q","0.00-Q, 65.00-Pkt",colour pencil-33.00-Pkt; Art Paper-25.00-Pkt; Wooden Pencil; Box-37.00-Pkt; Eraser-37.00-Pkt; Number Block-15.00-Pkt; Scissor-16.00-Pkt; Colour Paper-15.00-Pieces; Horliks-67.00-Pkt; Biscuit-20.00-Pkt; sanitary napkin-20.00-Pkt; Gum-15.00-Pieces; Letter Block-5.00-Pkt; HTW-16.00-Pieces; Water Pouches Distributed-19000.00-Pkt; Bleaching Packet Distributed-4200.00-Pkt; Halogen tablet-4200.00-Pieces; Temporary Toilet-14.00-Pieces; Tarpoulin-8.00-Pieces; sanitary nepkin-8.00-Pkt; Horlics-60.00-Pkt; 0-0.00-Q,,,,,,,22-06-2022
9,,Dibrugarh,0.00-Q,0.00-Q,Tarpaulin sheets-956.00-Q,,,,,,,22-06-2022
10,,Dima-Hasao,0.00-Q,0.00-Q,Turmeric-100.00-Pkt; Milk-100.00-L; Potato-580.00-Kg; Onion-140.00-Kg; Biscuit-700.00-Pkt; Candle-300.00-Pkt; Match Box-108.00-Pkt; Mosquito Repellent-100.00-Pkt,,,,,,,22-06-2022
