,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,Others,,,,,,Date
0,,Biswanath,0.00-Q,,"10.00-Pkt, 0.00-Q",Drinking water-120.00-L,,,,,,30-06-2022
1,,Cachar,0.00-Q,,0.00-Q,Candle-17500.00-Pkt; Mortien-11100.00-Pkt; Biscuit-578875.00-Pkt; Amul Taza-72938.00-Pkt; Cake-1890.00-Pkt; Drinking Water-73218.00-Pkt; Sanitary Pad-40532.00-Pkt,,,,,,30-06-2022
2,,Chirang,0.00-Q,,0.00-Q,,,,,,,30-06-2022
3,,Darrang,0.00-Q,,0.00-Q,tarpaulin-2765.00-Pieces; 0-0.00-Q,,,,,,30-06-2022
4,,Dhemaji,0.00-Q,,0.00-Q,Tarpaulin-908.00-Pieces; Tarpulin-24.00-Pieces; soap-25.00-Pieces; Mosquito coil-10.00-Pieces; Candle-20.00-Pieces; Detergent-10.00-Pkt; sanitary pad-20.00-Pkt; Match box-10.00-Pkt; Biscuit-20.00-Pkt; Phenyl-5.00-Pkt; Disposal Dishes-1000.00-Pieces; Potato-50.00-Kg; Soyabean-5.00-Kg; Mosquito net-100.00-Pieces,,,,,,30-06-2022
5,,Dibrugarh,0.00-Q,,0.00-Q,,,,,,,30-06-2022
6,,Dima-Hasao,0.00-Q,,0.00-Q,Milk-44.00-L; Potato-320.00-Kg; Onion-237.00-Kg; Biscuit-1659.00-Pkt; Candle-633.00-Pkt; Match Box-237.00-Pkt; Mosquito Repellent-237.00-Q; Bathing Soap-237.00-Pieces,,,,,,30-06-2022
7,,Hailakandi,0.00-Q,,0.00-Q,Water Purification Tablets-4200.00-Pieces; Water Packets-2600.00-Pkt,,,,,,30-06-2022
8,,Hojai,0.00-Q,,0.00-Q,,,,,,,30-06-2022
9,,Kamrup,0.00-Q,,"0.00-Q, 100.00-Pkt",0-0.00-Q; Wheat Bran-74.55-Q; Tarpaulin-2000.00-Pieces,,,,,,30-06-2022
10,,Karimganj,"555.00-Pkt, 0.00-Q",,"135.00-Pkt, 0.00-Q",CANDLE-144.00-Pkt; MOSQUITO COIL-48.00-Pkt; BLEACHING POWDER-48.00-Pkt; SANITARY NAPKIN-97.00-Pkt; MATCH BOX-135.00-Pkt; 0-0.00-Q; Candle-55.00-Pkt; Mosquito Coil-33.00-Pkt; Water Purification Tablet-4625.00-Pkt; Chemical Packets-12235.00-Pkt; Water Pouch-3700.00-Pkt; Lime & Alum Pouch-2050.00-Pkt; Hydrochloride Solution-110.00-L,,,,,,30-06-2022
11,,Lakhimpur,"0.00-Q, 170.00-Pkt",,"69.00-Pkt, 2.04-Q, 90.00-Kg",Tarpaulin-1159.00-Pieces; Concentrate Feed (Cattle Feed)-19.00-Q; Sanitary Napkins-385.00-Pkt; Chira-2.04-Q; Jaggery(Gur)-51.00-Kg; TARPAULIN-107.00-Pieces; potato-30.00-Kg; Eggs-94.00-Pieces; Soyabean-5.00-Kg; Onion-10.00-Kg; candle-30.00-Pkt; maxo-15.00-Pkt; tea leaves-0.50-Kg; sugar-2.00-Kg; biscuit-30.00-Pkt; disposable glass and plate-600.00-Pieces; bucket with mug-20.00-Pieces; turmeric-1.00-Kg; dry chilli-0.50-Kg; bread-60.00-Pkt; bathing soaf-22.00-Pieces; detergent powder 10 Rs pouch -22.00-Pieces; vim Bar 10 Rs Pouch-5.00-Pieces; Match Box-4.00-Pkt; 0-0.00-Q,,,,,,30-06-2022
12,,Majuli,0.00-Q,,0.00-Q,Helogen Tab-800.00-Pieces,,,,,,30-06-2022
13,,Morigaon,"3155.00-Q, 2995.00-Pkt",,"3155.00-Q, 2995.00-Pieces",Tarpoulin-230.00-Pieces; Hand Tube Well-2.00-Pieces; Sanitary Napkin-239.00-Pkt; Tarpaulin-5000.00-Q; Temporary Toilet -24.00-Q; Halogen tablets-13000.00-Q; Water pouch-22000.00-Q; Chemical Packets-2950.00-Q; HTW-20.00-Q; Sanitary Napkin-271.00-Q,,,,,,30-06-2022
14,,Nagaon,"1894.00-Pkt, 0.00-Q",,0.00-Q,Sanitary Napkin-180.00-Pkt; Tarpulin-1400.00-Pieces,,,,,,30-06-2022
15,,Sonitpur,0.00-Q,,0.00-Q,Chira-2.90-Q; Gur-0.53-Q,,,,,,30-06-2022
16,,Tamulpur,0.00-Q,,0.00-Q,Tarpaulin -320.00-Pieces,,,,,,30-06-2022
17,,Tinsukia,"0.00-Q, 274.00-L",,"0.00-Q, 373.40-Kg",Sanitary Napkin-200.00-Pkt,,,,,,30-06-2022
