,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Bajali,0.00-Q,,"0.00-Q, 712.00-Pkt",,Tarpaulin-2869.00-Pieces,,,,,24-06-2022
1,,Baksa,"0.00-Q, 0.00-Pkt",,"0.00-Q, 0.00-Pkt",,Wheat bran-65.00-Q,,,,,24-06-2022
2,,Barpeta,0.00-Q,,"148.00-Pkt, 0.00-Q",,Suzi-495.00-Kg; Phenyl-500.00-Pieces; candles-1000.00-Pkt; biscuit-10000.00-Pkt; Match box-2600.00-Pieces; Sanitary Napkin-130.00-Pkt; 1. Tarpaulin -3500.00-Pieces; Tarpaulin-8000.00-Pieces; Hand Tube-well(HTW)-209.00-Pieces; HTW installed-114.00-Pieces; Sanitary Napkins-756.00-Pieces; Candle-440.00-Pkt; Drinking water-7250.00-Pieces; Biscuit-1160.00-Pkt; Mosquito Coil-600.00-Pkt; candel-2262.00-Pkt; Tarpulin-3500.00-Pieces; Water Bottle-7000.00-Pieces; Mosquito-1102.00-Pkt; Horlics-145.00-Pieces; Cerelac-350.00-Pkt,,,,,24-06-2022
3,,Bongaigaon,0.00-Q,,0.00-Q,,Bleaching Powder-215.25-Kg; Halogen Tablets-5950.00-Pkt; Phenyl-3.10-Pkt; Temp. HTW-69.00-Pieces; Mobile Plant-24000.00-Pieces; Toilet-53.00-Pieces; Dustbin-2.00-Pieces; Mosquito net--100.00-Pieces; Solar Light -30.00-Pieces; Halogen Tablets-12530.00-Pieces; Phenyl-19.50-L; Bathroom-2.00-Pieces,,,,,24-06-2022
4,,Cachar,0.00-Q,,0.00-Q,,,,,,,24-06-2022
5,,Chirang,0.00-Q,,0.00-Q,,Soap-85.00-Pieces; surf-50.00-Pkt,,,,,24-06-2022
6,,Darrang,0.00-Q,,"0.00-Q, 20.00-Pieces",,0-0.00-Q; candles-20.00-Pkt; halogen tablets-500.00-Pieces; drinking water-1000.00-L; phenyl-30.00-Pieces; Tarpaulin-3000.00-Pieces; Mosquito reseller-1000.00-Pkt; Candle-1500.00-Pkt; Matchbox-30.00-Pkt; Tarpaulin -4000.00-Q; Candle Light-1.00-Pkt; Phinyl -132.00-Q,,,,,24-06-2022
7,,Dhemaji,"0.00-Q, 0.00-L",,"0.00-Q, 0.00-Pkt",,0-0.00-Q,,,,,24-06-2022
8,,Dhubri,0.00-Q,,0.00-Q,,bleaching powder-5300.00-Pkt; halogen tablet-1800.00-Pieces; water pouches-6000.00-Pkt; Tarpaulin-1000.00-Pieces; HTW-26.00-Pieces; Pit Latrine-26.00-Pieces; Tarpaulin -359.00-Pieces,,,,,24-06-2022
9,,Dima-Hasao,0.00-Q,,0.00-Q,,Haldi-186.00-Pkt; Onion-117.50-Kg; Biscuit-996.00-Pkt; Milk-113.00-L; Potato-497.00-Kg; Candle-421.00-Pkt; Match box-186.00-Pkt; Mosquito repellent-192.00-Pkt,,,,,24-06-2022
10,,Hailakandi,"0.00-Q, 71.00-Pkt",,"0.00-Q, 20.00-Pkt",,Water Purification Tablets-8500.00-Pieces; Tarpoulin-500.00-Pieces; Water Packets-6000.00-Pkt; sanitary Napkin-20.00-Pkt; Candle-71.00-Pkt; Match Box-80.00-Pieces; Disposable plate-1000.00-Pieces; Disposable Glass-1000.00-Pieces; Soap-71.00-Pieces; Turpoline-71.00-Pieces; Hand Sanitizer-1.00-Pieces,,,,,24-06-2022
11,,Hojai,0.00-Q,,0.00-Q,,Water Bottle-1392.00-L; Sanitary Pad-240.00-Pkt; Candle-110.00-Pkt; Phenyl-90.00-Pieces; Amul Taza-216.00-L; Water-480.00-L; Bleaching-12.50-Kg; Phenyl-25.00-Pkt,,,,,24-06-2022
12,,Kamrup,"0.00-Q, 200.00-Pkt",,0.00-Q,,Water Pouch-5000.00-Q; Black Phenyl-5.00-L; Harpic-3.00-L; Cleaning Mop-3.00-Pieces; Chitranala-0.10-L; 0-0.00-Q; Wheat bran-306.20-Q; Tarpuline-1500.00-Q; Candle-200.00-Q; Sanitary Napkin-200.00-Pkt,,,,,24-06-2022
13,,Karbi Anglong West,0.00-Q,,0.00-Q,,,,,,,24-06-2022
14,,Karimganj,"100.00-Q, 24.00-Pkt",,0.00-Q,,NIL-0.00-Q; 0-0.00-Q; Candle-24.00-Pkt; Coil-24.00-Pkt; Water Purification Tablet-5240.00-Pieces; Chemical packets-6250.00-Pkt; Water Pouch-1735.00-Pkt,,,,,24-06-2022
15,,Lakhimpur,0.00-Q,,0.00-Q,,Tarpaulin -562.00-Pieces,,,,,24-06-2022
16,,Majuli,0.00-Q,,0.00-Q,,Halogen Tab-950.00-Pieces,,,,,24-06-2022
17,,Morigaon,0.00-Q,,0.00-Q,,CANDLE -3200.00-Pieces; HTW -13.00-Pieces; WATER POUCH-8000.00-Pieces; CHEMICAL PACKETS-4400.00-Pieces; CHARGEABLE LIGHT -2000.00-Pieces; Tarpaulin -72.00-Pkt; Restoration of 6nos of existing HTW by PHED -6.00-Pieces,,,,,24-06-2022
18,,Nagaon,"45000.00-Pkt, 0.00-Q",,"45000.00-Pkt, 0.00-Q",,HTW-7.00-Pieces; M. Coil-42010.00-Pkt; Candle-42010.00-Pkt; Water Battle-42010.00-Pieces; 0-0.00-Q; Tapulin-1500.00-Pieces,,,,,24-06-2022
19,,Nalbari,0.00-Q,,0.00-Q,Tarpaulin-1050.00-Pkt; wheat bran-1284.00-Q,,,,,,24-06-2022
20,,Sonitpur,"16.00-L, 0.00-Q",,"11.20-Kg, 0.00-Q",,,,,,,24-06-2022
21,,South Salmara,0.00-Q,,0.00-Q,Hand Tube well-16.00-Pieces; Pit Latrine -34.00-Q; HTW-50.00-Pieces,,,,,,24-06-2022
22,,Udalguri,0.00-Q,,0.00-Q,0-0.00-Q; Sanitary Pad -221.00-Pkt; Candles & Match Sticks-20.00-Pkt; Mosquito Coil-20.00-Pkt; Disposal Plates-60.00-Pkt; Disposal Glass-12.00-Pkt; Soap-68.00-Pieces; Water Can (20Ltrs)-100.00-Pieces; Baby Daipers-500.00-Pkt,,,,,,24-06-2022
