,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Bajali,0.00-Q,,0.00-Q,,water bottle-150.00-Pieces,,,,,28-06-2022
1,,Barpeta,0.00-Q,,0.00-Q,,0-0.00-Q,,,,,28-06-2022
2,,Biswanath,0.00-Q,,0.00-Q,,,,,,,28-06-2022
3,,Bongaigaon,0.00-Q,,0.00-Q,,Biscuit-1242.00-Pkt; Amul Taza-1242.00-Pkt; Sanitary Pad-231.00-Pkt; Mother Horlicks-21.00-Pkt; Tarpaulin-350.00-Pieces; Tarpaulin -260.00-Pieces,,,,,28-06-2022
4,,Cachar,0.00-Q,,0.00-Q,,,,,,,28-06-2022
5,,Chirang,0.00-Q,,"0.00-Pkt, 0.00-Q",,,,,,,28-06-2022
6,,Darrang,0.00-Q,,0.00-Q,,0-0.00-Q; TARPAULIN-1430.00-Pieces,,,,,28-06-2022
7,,Dhemaji,0.00-Q,,0.00-Q,,Tarpaulin-20.00-Pieces; Hand wash-5.00-Pieces; Soap-30.00-Pieces; Mosquito Net-30.00-Pieces; Mosquito coil-15.00-Pkt; Candle-20.00-Pkt; Detergent-10.00-Pkt; Sanitary Pads-20.00-Pkt; Match Box-10.00-Pkt; Biscuit-20.00-Pkt,,,,,28-06-2022
8,,Dima-,0.00-Q,,0.00-Q,,Milk-20.00-L; Onion-20.00-Kg; Haldi-20.00-Pkt; Biscuit-140.00-,,,,,28-06-2022
9,,Hasao,,,,Pkt; Candle-60.00-Pkt; Match Box-20.00-Pkt; Mosquito Repellent-20.00-Pkt; Bathing Soap-20.00-Pieces; Mosquito Net-18.00-Pieces,,,,,,28-06-2022
10,,Hailakandi,"111.00-Pkt, 0.00-Q",,"20.00-Pkt, 0.00-Q",soap-53.00-Pieces; Water Purification Tablets-3000.00-Pieces; Water Packets-1500.00-Pkt; Water Purification Tablet-56000.00-Pieces; Water packets-5000.00-Pkt,,,,,,28-06-2022
11,,Hojai,0.00-Q,,0.00-Q,Water bottle-240.00-L; Bleaching Powder-6.00-Pkt; Phenyl-6.00-Pieces,,,,,,28-06-2022
12,,Kamrup,0.00-Q,,180.00-Q,Biscuit-300.00-Pkt; Sanitary Napkin-400.00-Pkt; Candle-150.00-Pkt; Milk-70.00-Pkt; Mosquito-50.00-Pkt; Phenyl-100.00-Pkt,,,,,,28-06-2022
13,,Karimganj,"150.00-Pkt, 0.00-Q",,"120.00-Pkt, 0.00-Q",CANDLE-60.00-Pkt; SANITARY NAPKIN-51.00-Pkt; BLEACHING POWER-20.00-Pkt; MOSQUITO COIL-20.00-Pkt; MATCH BOX-20.00-Pkt; 0-0.00-Q; Candle-15.00-Pkt; Mosquito Coil-15.00-Pkt; Water Purification Tablet-5200.00-Pkt; Chemical Pakets-6640.00-Pkt,,,,,,28-06-2022
14,,Lakhimpur,0.00-Q,,"0.00-Q, 10.00-Pkt",Taurpalin-901.00-Q; Tarpaulin-13.00-Pieces; Concentrate Feed (Cattle Feed)-13.00-Q; Halogen Tablet-1000.00-Pieces,,,,,,28-06-2022
15,,Majuli,0.00-Q,,0.00-Q,Chemical packets-300.00-Pkt; Halogen tablets-2000.00-Pieces,,,,,,28-06-2022
16,,Morigaon,0.00-Q,,0.00-Q,WATER PACKETS-1000.00-Q; HALOGEN TABLETS -3000.00-Q,,,,,,28-06-2022
17,,Nagaon,0.00-Q,,0.00-Q,Tarpulin-2000.00-Pieces; Water Bottle-23000.00-Pieces; Soap-1100.00-Pieces; Bleaching Powder-1050.00-Kg,,,,,,28-06-2022
18,,Nalbari,0.00-Q,,0.00-Q,Tarpaulin -74.00-Pkt; wheat Bran-34.65-Q,,,,,,28-06-2022
19,,Sonitpur,0.00-Q,,0.00-Q,,,,,,,28-06-2022
20,,Tamulpur,0.00-Q,,0.00-Q,,,,,,,28-06-2022
21,,Tinsukia,0.00-Q,,0.00-Q,0-0.00-Q,,,,,,28-06-2022
