,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Bajali,"0.00-ml, 0.00-Q",,50.00-Pkt,,candle-20.00-Pkt; M.Coil-20.00-Pkt; Match Box-2.00-,,,,,20-06-2022
1,,,,,Pkt; Tarpaulin-10140.00-Pieces,,,,,,,20-06-2022
2,,Baksa,"0.00-Pkt, 0.00-Q","0.00-Pkt, 0.00-Q",Mother Horlicks -10.00-Pkt; Children Horlicks -40.00-Pkt; Sanitary Napkins-368.00-Pkt; Biscuit-1080.00-Q; Candel-1080.00-Q,,,,,,,20-06-2022
3,,Barpeta,0.00-Q,0.00-Q,wheat bran -1800.00-Q; Tarpauline sheets-20000.00-Pieces; Hnad Tube wells-168.00-Pieces; 0-0.00-Q; Drinking water-2250.00-L; Hand Tube well-12.00-Pieces,,,,,,,20-06-2022
4,,Biswanath,0.00-Q,0.00-Q,,,,,,,,20-06-2022
5,,Bongaigaon,957.00-Pkt,"1728.00-Pieces, 2133.00-Pkt",Tarpaulin-3100.00-Pieces; Sanitary Pad-348.00-Pkt; horlicks-186.00-Pkt,,,,,,,20-06-2022
6,,Cachar,0.00-Q,0.00-Q,Candle-484.00-Pkt; Match Box-484.00-Pkt; Mortien-484.00-Pkt; 0-0.00-Q; Cooked Food packet -44.00-Pkt,,,,,,,20-06-2022
7,,Chirang,0.00-Q,"8.00-Pkt, 0.00-Q",Tarpaulin-662.00-Pieces; Mosquito Net-61.00-Pieces,,,,,,,20-06-2022
8,,Darrang,0.00-Q,"460.00-Pkt, 0.00-Q",taurpaulin-500.00-Pieces; Tarpaulin-6000.00-Pieces; Candles-400.00-Pkt; Biscuit-50.00-Pkt; 0-0.00-Q,,,,,,,20-06-2022
9,,Dhemaji,0.00-Q,0.00-Q,Bleaching powder-450.00-Pkt; chemical Packet-250.00-Pkt; Halogen/ NaDDC Tablets-9000.00-Pieces; Tarpulin-124.00-Pieces,,,,,,,20-06-2022
10,,Dhubri,"0.00-Q, 588.00-Pkt",0.00-Q,"CHIRA-1.29-Q; GUR-1.29-Q; Temporary Toilet-6.00-Pieces; Temporary Bathroom-5.00-Pieces; Temporary HTW-3.00-Pieces; Water Bottle -500.00-Pieces; HTW-60.00-Pieces; Tarpaulin -80.00-Pieces; chira-19.04-Q; gur-10.50-Q; M.coil, Candle, M.box-1787.00-Q; Sanitary napkin-3336.00-Pieces; Tarpaulin/Polythine sheet-10196.00-Pieces; Temporary Toilet Constructed-4.00-Pieces; Temporary Bathroom Constructed-37.00-Pieces; Water Bottle(1lit) Distributed-3650.00-Pieces; Water Pouches Distributed-12500.00-Pieces; Bleaching Packet Distributed-4000.00-Pieces; Art paper, Pencil, Eraser Colour box -105.00-Pkt; Pictorial chart, Chess game , Ludu game -15.00-Pieces; Small Toys -35.00-Pieces",,,,,,,20-06-2022
11,,Dibrugarh,0.00-Q,0.00-Q,Tarpaulin sheets-45.00-Q,,,,,,,20-06-2022
12,,Dima-Hasao,0.00-Q,0.00-Q,Haldi-79.00-Pkt; Milk-79.00-L; Potato-9.48-Q; Onion-3.98-Q; Candle-228.00-Pkt; Match Box-292.00-Pkt; Mosquito Net-76.00-Pieces; Battery-152.00-Pieces; Torch-156.00-Pieces,,,,,,,20-06-2022
13,,Goalpara,0.00-Q,0.00-Q,Candle-2591.00-Pkt; Mosquito Coil-2414.00-Pkt; Match box-308.00-Pkt; Bleaching Powder-5.00-Kg,,,,,,,20-06-2022
14,,Golaghat,0.00-Q,0.00-Q,,,,,,,,20-06-2022
15,,Hailakandi,"1022.00-Pkt, 0.00-Q","0.00-Q, 20.00-Pkt",Sanitary Napken-130.00-Pkt; Sanitary Napkin-194.00-Pkt; Candle-230.00-Pkt; Match Box-300.00-Pieces,,,,,,,20-06-2022
16,,Hojai,0.00-Q,0.00-Q,Amual -420.00-L; Water -420.00-L; Sanitary Pads -10.00-Pkt; Candle-175.00-Pkt; Bleching Powder-10.00-Pkt; Sanitary Pad-75.00-Pkt; Bleaching Powder (500 gm) Per pkt-75.00-Pkt; Tarpaulin-140.00-Pieces; Water Bottle-216.00-L; Sanitary Napkin-90.00-Pkt; Chira-15.00-Q; Gur-2.20-Q; Biscuit-125.00-Pkt; Bleaching Powder (500Gm per Pkt)-90.00-Pkt,,,,,,,20-06-2022
17,,Kamrup,"0.00-Q, 850.00-Pkt","0.00-Q, 850.00-Pkt",Tarpaulin-3050.00-Pieces; Mosquito Coil-100.00-Pkt; Plates & Glass-2000.00-Pieces; Sanitay Napkin-20.00-Pkt; 0-0.00-Q,,,,,,,20-06-2022
18,,Kamrup (M),0.00-Q,0.00-Q,Tarpoulin-360.00-Pieces,,,,,,,20-06-2022
19,,Karbi Anglong West,0.00-Q,0.00-Q,,,,,,,,20-06-2022
20,,Karimganj,"295.00-Pkt, 0.00-Q",0.00-Q,CHIRA-4.00-Q; GUR-10.00-Q; Candle-15.00-Pkt; Mosquito Coil-20.00-Pkt; Napkin-30.00-Pkt,,,,,,,20-06-2022
21,,Kokrajha,"441.00-Pkt, 0.00-","220.50-Kg, 0.00-Q",Sanitary Napkins-349.00-Pkt; Tarpaulin-2500.00-Pieces,,,,,,,20-06-2022
22,,r,Q,,,,,,,,,20-06-2022
23,,Lakhimpur,0.00-Q,,"1745.00-Pkt, 61.00-Pieces, 0.00-Q",CONCENTRATED CATTLE FEED GODREJ SUPREME-53.50-Q; TARPAULIN-560.00-Pieces,,,,,,20-06-2022
24,,Morigaon,0.00-Q,,0.00-Q,Hand Tubewell-30.00-Pieces; Tarpuline-3000.00-Pieces,,,,,,20-06-2022
25,,Nagaon,"3412.00-Pkt, 0.00-Q",,"4792.00-Pkt, 0.00-Q",Tube Well-4.00-Pieces; Halogen tablets-3000.00-Q; Mosquito Coil-100.00-Pkt; Candle-100.00-Pkt; HTW-2.00-Pieces; Drinking Water-11000.00-Pkt; Helogen Tablet-2000.00-Pieces,,,,,,20-06-2022
26,,Nalbari,0.00-Q,,"157.00-Pkt, 0.00-Q",Tarpaulin-160.00-Pkt; sanitary paid-3500.00-Pkt; tarpulin-340.00-Pkt; tarpaulin -1155.00-Pkt; Terpolin -1600.00-Pkt; Sanitary Paid -1000.00-Pkt; Coil-330.00-Pkt; Candle -330.00-Pkt; Match Box -400.00-Pkt; whaet bran-240.00-Q; tarpaulin-261.00-Pkt,,,,,,20-06-2022
27,,Sonitpur,0.00-Q,,"0.00-Q, 40.00-Pkt",TARPAULIN-50.00-Pieces,,,,,,20-06-2022
28,,South Salmara,0.00-Q,,0.00-Q,0-0.00-Q,,,,,,20-06-2022
29,,Tamulpur,"0.00-L, 0.00-Q",,"0.00-Kg, 0.00-Q",0-0.00-Kg,,,,,,20-06-2022
30,,Tinsukia,0.00-Q,,0.00-Q,,,,,,,20-06-2022
31,,Udalguri,"0.00-Q, 142.00-Pkt",,"1016.00-Pkt, 0.00-Q",Sanitary Pad-1992.00-Pkt; Tarpaulin-950.00-Pieces; Blanket-535.00-Pieces; Mosquito Net-350.00-Pieces; candle-230.00-Pkt; Match Box-40.00-Pkt; sanitary Pad-140.00-Pkt; tarpauline-89.00-Pieces; Geobags-300.00-Pieces,,,,,,20-06-2022
