,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,Date
0,,Dhemaji,0.00-Q,,0.00-Q,,Tarpoulin-243.00-Pieces; Tarpaulin-261.00-Pieces,,,,12-10-2022
1,,Dibrugarh,0.00-Q,,0.00-Q,,,,,,12-10-2022
2,,Lakhimpur,0.00-Q,,0.00-Q,,,,,,12-10-2022
