,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Bajali,"0.00-Q, 0.00-ml",,"0.00-Q, 0.00-ml",,wheat bran-851.00-Q; candle-17.00-Pieces,,,,,18-06-2022
1,,Baksa,"0.00-Q, 0.00-Pkt",,"0.00-Q, 47.00-Pkt",,Animal feed-10000.00-Kg; Biscuit-643.00-Pkt; Candel-643.00-Pkt; Candle-5.00-Pkt; Biscuits -82.00-Pkt; Mosquito coil -2.00-Q,,,,,18-06-2022
2,,Barpeta,"0.00-Pkt, 0.00-Q",,"11.00-Pkt, 0.00-Q",,Sanitary napkins -200.00-Pkt; Candle -50.00-Pkt; Mosquito coil -50.00-Pkt,,,,,18-06-2022
3,,Bongaigaon,"2043.00-Pkt, 0.00-Q, 568.80-L",,"2043.00-Pkt, 450.00-Q",,Tarpaulin-600.00-Pieces; Mother horlicks -25.00-Pkt; Sanitary Pad-474.00-Pkt; Tarpaulin -460.00-Pieces; candle-372.00-Pkt; matches -10.00-Pkt; chira-1.62-Q; gur-0.30-Q,,,,,18-06-2022
4,,Cachar,0.00-Q,,0.00-Q,,,,,,,18-06-2022
5,,Chirang,0.00-Q,,"0.00-Q, 42.00-Pkt",,Tarpaulin-623.00-Pieces; Candle-295.00-Pkt; Mosquito Coil-298.00-Pkt; Soap-38.00-Pieces; Sanitary Napkin-48.00-Pkt; Match Box-4.00-Pkt,,,,,18-06-2022
6,,Darrang,"0.00-Q, 0.00-Pkt",,"0.00-Q, 448.00-Pkt",,Tarpaulin-2150.00-Pieces,,,,,18-06-2022
7,,Dhemaji,0.00-Q,,0.00-Q,,Tarpaulin-159.00-Pieces; Tarpaulin -490.00-Pieces,,,,,18-06-2022
8,,Dhubri,"375.00-Pkt, 0.00-Q",,"0.00-Q, 26.00-Pkt",,Candle-60.00-Pkt; M. Coil-60.00-Pkt; M.Box-60.00-Pieces; Tarpaulin-84.00-Pieces; sanitary napkins-90.00-Pkt,,,,,18-06-2022
9,,Dibrugarh,0.00-Q,,0.00-Q,,Tarpaulin -2.00-Pieces,,,,,18-06-2022
10,,Dima-Hasao,0.00-Q,,0.00-Q,,Haldi-6.00-Pkt; Milk-6.00-L; Potato-30.00-Kg; Onion-6.00-Kg; Biscuit-42.00-Pkt; Candle-18.00-Pkt; Match Box-6.00-Pkt; Mosquito Repellent-12.00-Pkt,,,,,18-06-2022
11,,Goalpara,0.00-Q,,0.00-Q,,Chira-1.93-Q; Gur-0.34-Q; Mosquito Coil-252.00-Pkt; Match Box-252.00-Pkt; Candle-252.00-Pkt; Tarpaulin-1118.00-Pieces,,,,,18-06-2022
12,,Hojai,0.00-Q,,0.00-Q,,Amul Taza-156.00-L; Water-240.00-L; Sanitary Pad-65.00-Pkt; Water Bottle-1320.00-L,,,,,18-06-2022
13,,Kamrup,"73.00-Pkt, 0.00-Q",,"73.00-Pkt, 0.00-Q",,Candles-40.00-Pkt; Mosquito Coil-40.00-Pkt; Sanitary Napkin-8.00-Pkt; Tarpaulin-500.00-Pieces; Candle-15344.00-Pkt; Candel-20.00-Pkt,,,,,18-06-2022
14,,Kamrup (M),0.00-Q,,0.00-Q,,Tarpouline-430.00-Pieces; Bread-50.00-Pkt; Biscuit-50.00-Pkt; Candle-5.00-Pkt,,,,,18-06-2022
15,,Karbi Anglong West,0.00-Q,,0.00-Q,,,,,,,18-06-2022
16,,Karimganj,0.00-Q,,0.00-Q,,0-0.00-Q,,,,,18-06-2022
17,,Kokrajhar,0.00-Q,,"0.00-Q, 46.50-Kg, 12.00-Pkt",,Candle-340.00-Pieces; Match Box-430.00-Pieces; CANDLE-92.00-Pkt; CORNFLAKES-3.90-Kg; MOTHER HORLICKS-9.00-Kg; BISCUITS-117.00-Pkt; SANITARY NAPKIN-240.00-Pieces; HAND SANITIZER-2.00-L; SOAP-398.00-Pieces; BLEACHING POWDER-10.00-Kg; Biscuit-54.00-Pkt; Candle-34.00-Pkt; Match Box-15.00-Pkt; Mosquito Coil-84.00-Pkt; Bath Soap-84.00-Pieces,,,,,18-06-2022
18,,Lakhimpur,0.00-Q,,"0.00-Q, 64.00-Pkt",,Suji 1/2 kg-30.00-Pkt; Horlicks 500 g-14.00-Pkt; concentrated cattle feed Godrej Supreme-76.00-Q; Tarpaulin-113.00-Pieces; Concentrate Feed (Cattle Feed)-28.00-Q; Halogen Tablet-4000.00-Pieces; Horlics (Baby Food)-60.00-Pieces; 0-0.00-Q,,,,,18-06-2022
19,,Nagaon,500.00-Pkt,,500.00-Pkt,,Candle-100.00-Pkt; HTW-1.00-Pieces,,,,,18-06-2022
20,,Nalbari,0.00-Q,,0.00-Q,Masquto Coil-186.00-Pkt; Candle -372.00-Pkt; Wheat Bran-1036.00-Q,,,,,,18-06-2022
21,,Sonitpur,0.00-Q,,0.00-Q,0-0.00-Q,,,,,,18-06-2022
22,,Tamulpur,"3.00-Pkt, 0.00-Q",,0.00-Q,,,,,,,18-06-2022
23,,Udalguri,"0.00-Q, 600.00-Pkt",,"0.00-Q, 0.00-Pkt",Candles-20.00-Pkt; Match Box-20.00-Pkt; Disposal Plates-60.00-Pkt; Diaposal Glass-12.00-Pkt; Mosquito Coil-20.00-Pkt,,,,,,18-06-2022
