,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Bajali,"0.00-ml, 0.00-Q",,"0.00-ml, 0.00-Q",,Tarpouline-2300.00-Pieces; candle-660.00-Pkt; Mosquito Coil-700.00-Pkt; Match Box-103.00-Pkt,,,,,19-06-2022
1,,Baksa,"0.00-Pkt, 0.00-Q",,"29.00-Pkt, 0.00-Q",,Candle -80.00-Pkt; Biscuit -80.00-Pkt; Mosquito coil -80.00-Pkt; Sanitary Napkin-158.00-Pkt; Mosquito Net-240.00-Pieces; Candle-1010.00-Pkt; Tarpaulin-15.00-Pieces; Torch Light-2.00-Pieces; Register-12.00-Pieces; Biscuit-270.00-Pkt; Soap-335.00-Pieces; Mosquito Coil-67.00-Pkt; Sanitary Napkin-368.00-Pkt; Sanitary napkin-182.00-Pkt,,,,,19-06-2022
2,,Barpeta,0.00-Q,,"0.00-Q, 20.00-Pkt",,Sira-20.00-Q; Gur-10.00-Q; Candel-502.00-Pkt; Mosquito coals-502.00-Pkt; Sanitary napkins -150.00-Pkt; Mosquito coil -100.00-Pkt; Candle -100.00-Pkt,,,,,19-06-2022
3,,Bongaigaon,"603.00-Pkt, 0.00-Q",,"603.00-Pkt, 0.00-Q",,Halogen Tab-980.00-Pkt; Temp. HTW/ Spot-9.00-Pieces; Water Pouches-1000.00-Pkt; Toilet-9.00-Pieces; Tarpaulin-1470.00-Pieces; Mother Horlicks-29.00-Pkt; Sanitary Pad-282.00-Pkt; candle-7.00-Pkt; Match-2.00-Pkt; Tarpulin-630.00-Pieces;,,,,,19-06-2022
4,,,,,,HTW-8.00-Pieces,,,,,,19-06-2022
5,,Cachar,0.00-Q,,0.00-Q,cook Food-44.00-Pkt,,,,,,19-06-2022
6,,Chirang,"16.00-Pkt, 0.00-Q",,"0.00-Q, 441.00-Pkt",Amul Taaza-96.00-Pkt; Biscuits-96.00-Pkt; Sanitary Pads-10.00-Pieces; Tarpaulin-705.00-Pieces; Candle-1083.00-Pkt; Mosquito Net-408.00-Pkt; Mosquito Coil-991.00-Pkt; Sanitary Napkin-300.00-Pkt,,,,,,19-06-2022
7,,Darrang,0.00-Q,,"0.00-Q, 50.00-Pkt",0-0.00-Q; tarpauline-300.00-Pieces; candles-50.00-Pkt; mosquito coil-30.00-Pkt; sanitary napkin-20.00-Pkt,,,,,,19-06-2022
8,,Dhemaji,0.00-Q,,0.00-Q,Tarpaulin-161.00-Pieces; Water pouch-4000.00-Pkt; Hand Tube well-26.00-Pieces,,,,,,19-06-2022
9,,Dhubri,0.00-Q,,"0.00-Q, 21.00-Pkt",Tarpauline-250.00-Pieces; Tarpaulin-132.00-Pieces; Chira-3.45-Q; gur-0.65-Q; HTW-5.00-Pieces; Temporary Toilet-2.00-Pieces; Drinking Water-300.00-L; Bleaching powder-25.00-Kg; 0-0.00-Q; Sanitary pad-21.00-Pkt; Mother Horlicks-20.00-Pkt,,,,,,19-06-2022
10,,Dibrugarh,0.00-Q,,0.00-Q,Tarpaulin sheets-10.00-Pieces,,,,,,19-06-2022
