,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,Others,,,,,,Date
0,,Dima-Hasao,0.00-L,,0.00-Q,Milk-430.00-L; Potato-18.10-Q; Onion-5.66-Q; Biscuit-3444.00-Pkt; Candle-810.00-Pkt; Match Box-326.00-Pkt; Mosquito Repellent-861.00-Pkt,,,,,,30-05-2022
1,,Morigaon,4000.00-Pieces,,4000.00-Pieces,Sanitary Napkin-25.00-Pieces,,,,,,30-05-2022
2,,Nagaon,0.00-Q,,0.00-Q,Candle-320.00-Pkt; Mosquito Coil-320.00-Pkt; Sanitary Napkins-410.00-Pkt; Phynel-320.00-L; Bleaching Powder-550.00-Kg,,,,,,30-05-2022
