,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,,Date
0,,Bajali,0.00-Q,,0.00-Q,,,,,,,,04-08-2022
1,,Chirang,0.00-Q,,0.00-Q,,Tarpaulin-63.00-Pieces,,,,,,04-08-2022
2,,Udalguri,43.00-Pkt,,0.00-Q,,Sanitary Pad-361.00-Pkt; Mosquito coil-14.00-Pkt; Candle-56.00-Pkt; Matches-17.00-Pkt,,,,,,04-08-2022
