,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,,Date
0,,Biswanath,0.00-Q,,0.00-Q,,,,,,,,18-07-2022
1,,Dima-Hasao,0.00-Q,,0.00-Q,,Onion-34.00-Kg,,,,,,18-07-2022
