,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Baksa,0.00-Pkt,,0.00-Pkt,,cattle feed-58.14-Q,,,,,27-06-2022
1,,Barpeta,0.00-Q,,0.00-Q,,1. Suji-1.00-Q; Disinfection Packets-13930.00-Pkt; Halogen Tablets-154000.00-Pieces; Water Pouch-193400.00-Pieces; HTW-700.00-Pieces; Temporary Toilet-333.00-Pieces; Tarpaulin-500.00-Pieces; Candle-20.00-Pkt,,,,,27-06-2022
2,,Cachar,0.00-Q,,0.00-Q,,Tarpulin-1494.00-Pieces; Mortean-5880.00-Pkt; Amul Taza-2996.00-L; Biscuit-16920.00-Pkt; Sanitary Pad-2880.00-Pkt,,,,,27-06-2022
3,,Darrang,0.00-Q,,0.00-Q,,Chira-500.00-Kg; Sugar-100.00-Kg,,,,,27-06-2022
4,,Dima-Hasao,0.00-Q,,0.00-Q,,Milk-77.00-L; Onion-77.00-Kg; Biscuit-597.00-Pkt; Candle-217.00-Pkt; Match Box-77.00-Pkt; Mosquito Repellent-77.00-Pkt; Napkin-77.00-Pkt; Mosquito Net-77.00-Pieces; Bathing Soap-77.00-Pieces; Hand Wash-153.00-Pieces,,,,,27-06-2022
5,,Hailakandi,"0.00-Q, 98.00-Pkt",,"0.00-Q, 25.00-Pkt",,Water Packets-5500.00-Pkt; Sanitary Napkin-30.00-Pkt; Candle-15.00-Pkt; Match Box-2.00-Pkt; Soap-15.00-Pieces; Turpolin-15.00-Pieces; Water Purification Tablet-1500.00-Pieces,,,,,27-06-2022
6,,Kamrup,"0.00-Q, 0.00-Pkt",,"0.00-Q, 300.00-Pkt",,Sanitary Napkin-300.00-Pkt; Candle-200.00-Pkt; Milk-100.00-Pkt; Mosquito Repellent-100.00-Pkt; Phenyl-150.00-Pkt; 0-0.00-Q; Tarpulin-500.00-Q,,,,,27-06-2022
7,,Karimganj,"0.00-Q, 41.00-Pkt",,0.00-Q,,0-0.00-Q; Water Purification Tablet -4820.00-Pieces; Chemical Packets -10125.00-Pkt,,,,,27-06-2022
8,,Lakhimpur,0.00-Q,,0.00-Q,,Tarpaulin-1.00-Pieces,,,,,27-06-2022
9,,Majuli,0.00-Q,,0.00-Q,,chemical packets-50.00-Pkt; Halogen tab-700.00-Pieces,,,,,27-06-2022
10,,Morigaon,0.00-Q,,0.00-Q,,Tarpaulin -35.00-Pieces,,,,,27-06-2022
11,,Nagaon,"12540.00-Pkt, 0.00-Q",,"12696.00-Pkt, 0.00-Q",,Tarpaulin-4756.00-Pieces; Bleaching Powder -165.00-Kg; Phynyl-1160.00-Pieces; Chira -325.60-Kg; Jaggery -19.18-Kg; HTW-4.00-Pieces; M. Coil-720.00-Pieces; Sanitary Pad-12096.00-Pkt; Soap-3900.00-Pieces; Bleaching Powder-1950.00-Kg; Water Bottle-2000.00-Pieces,,,,,27-06-2022
12,,Tamulpur,0.00-Q,,0.00-Q,,,,,,,27-06-2022
