,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Biswanath,0.00-Q,,0.00-Q,,Nestum for Baby-3.00-Pkt; Chira-0.53-Q; Jaggery -0.09-Q; Candle-13.00-Pkt; Mosquito repellent coil-13.00-Pkt; Match Box-13.00-Pkt; Sanitary Pads -5.00-Pkt; Hand wash-5.00-Pieces; Soap-26.00-Pieces,,,,,20-05-2022
1,,Cachar,0.00-Q,,0.00-Q,,Cheera-3.00-Kg; Jaggery-0.25-Kg; Candle-1369.00-Pkt; Match Box-1369.00-Pkt; Paked Drinking Water-2.00-L; Biscuit-26.00-Pkt; Mortien-50.00-Pkt; Mortein-1368.00-Pkt; Soyabean-184.20-Kg; Potato-6474.00-Kg; Soyaean-19.00-Kg; Amul Taza-12.00-L,,,,,20-05-2022
2,,Darrang,"0.00-Q, 2.00-L",,"240.00-Pkt, 0.00-Q",,Tarpaulin-200.00-Pieces; Candles-7.00-Pkt; sanitary pads-50.00-Pkt; mosquito coil-5.00-Pkt,,,,,20-05-2022
3,,Dima-Hasao,0.00-L,,0.00-Kg,,,,,,,20-05-2022
4,,Hailakandi,0.00-Q,,0.00-Q,,Tarpaulin-160.00-Pieces; Water Purification Tablet-2300.00-Pieces; Water Packets-3000.00-Pkt,,,,,20-05-2022
5,,Hojai,"2287.00-L, 0.00-Q",,"0.00-Q, 2302.00-Pkt",,chira-82.78-Q; Gur-15.72-Q; Amul Taza-1302.00-Pkt; water bottle-20500.00-L; biscuit-2000.00-Pkt; Tarpaulin-200.00-Pieces; Biscuit-7114.00-Pkt; Water-18858.00-L,,,,,20-05-2022
6,,Kamrup,0.00-Q,,0.00-Q,,0-0.00-Q,,,,,20-05-2022
7,,Karbi Anglong West,0.00-Q,,0.00-Q,,,,,,,20-05-2022
8,,Karimganj,0.00-Q,,"100.00-Pkt, 0.00-Q",,0-0.00-Q; MOSQUITO COIL -10.00-Pkt; CANDLE-20.00-Pkt; PHENYL-15.00-L; SANITARY NAPKIN-30.00-Pkt,,,,,20-05-2022
9,,Lakhimpur,0.00-Q,,0.00-Q,,,,,,,20-05-2022
10,,Morigaon,0.00-Q,,0.00-Q,,0-0.00-Q,,,,,20-05-2022
11,,Nagaon,0.00-Q,,"0.00-Q, 450000.00-ml",,Tarpaulin-365.00-Pieces,,,,,20-05-2022
12,,Sonitpur,0.00-Q,,0.00-Q,,,,,,,20-05-2022
13,,Udalguri,0.00-Q,,0.00-Q,,Sanitary Pad-294.00-Pkt,,,,,20-05-2022
