,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Barpeta,0.00-Q,,0.00-Q,,,,,,,23-05-2022
1,,Cachar,0.00-Q,,0.00-Q,,Mortien -1202.00-Pkt; Candle-1202.00-Pkt; Match Box -1202.00-Pkt; Soyabean-408.55-Kg; Potato-7118.00-Pkt,,,,,23-05-2022
2,,Darrang,0.00-Q,,0.00-Q,,Tarpaulin-100.00-Pieces,,,,,23-05-2022
3,,Dibrugarh,0.00-Q,,0.00-Q,,,,,,,23-05-2022
4,,Dima-Hasao,0.00-Q,,0.00-Q,,,,,,,23-05-2022
5,,Hailakandi,0.00-Q,,0.00-Q,,,,,,,23-05-2022
6,,Hojai,0.00-Q,,0.00-Q,,Rice Bran-25.00-Q; Tarpaulin-160.00-Pieces; Water-1200.00-L; Biscuit-1440.00-Pkt; Phenyl-20.00-Pieces; Bleaching powder-49.00-Kg; Amul Taza-198.00-L; Chira-11.25-Q; Gur-1.50-Q,,,,,23-05-2022
7,,Kamrup,0.00-Q,,0.00-Q,,0-0.00-Q,,,,,23-05-2022
8,,Karbi Anglong West,0.00-Q,,0.00-Q,,,,,,,23-05-2022
9,,Karimganj,0.00-Q,,0.00-Q,,0-1.00-Q,,,,,23-05-2022
10,,Morigaon,1800.00-Pieces,,2000.00-Pieces,,TARPAULIN-1000.00-Pieces,,,,,23-05-2022
11,,Nagaon,"0.00-ml, 660.00-L",,"83.00-Kg, 3300.00-Pkt",,Tarpaulin-338.00-Pieces,,,,,23-05-2022
12,,Udalguri,"0.00-Q, 0.00-Pkt",,"0.00-Q, 25.00-Pkt",,Sanitary Pad-63.00-Pkt,,,,,23-05-2022
