,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Bajali,0.00-Q,,0.00-Q,,,,,,,18-05-2022
1,,Biswanath,0.00-Q,,"0.00-Q, 1.00-Pkt",,Wheat Bran-160.64-Q; Corn Flakes-5.00-Pkt; Mosquito Coil-3.00-Pkt; Milk (Amul Taza)-5.00-L,,,,,18-05-2022
2,,Cachar,"0.00-Q, 508.00-Pkt",,"0.00-Q, 224.00-Pkt",,Cook Food-6.00-Pkt; Palm Sugar-508.00-Pkt; Sagu-277.00-Pkt; Mortein-1017.00-Pkt; Soyabin-127.80-Kg; Potato-2196.00-Kg; Candle-1727.00-Pkt; Match Box-1251.00-Pkt; Mortien-750.00-Pkt; Tarpulin-700.00-Pieces,,,,,18-05-2022
3,,Charaideo,0.00-Q,,0.00-Q,,,,,,,18-05-2022
4,,Darrang,0.00-Q,,"0.00-Q, 44.00-Pkt",,0-0.00-Q; Tarpaulin-500.00-Pieces,,,,,18-05-2022
5,,Dhemaji,0.00-Q,,0.00-Q,,Tarpulin-15.00-Pieces,,,,,18-05-2022
6,,Dima-Hasao,0.00-Q,,0.00-Q,,Chira-0.64-Q; Biscuit-190.00-Pkt; candle-33.00-Pkt; Match-30.00-Pieces; Mortin-3.00-Pkt; Tarpoulin-25.00-Pieces,,,,,18-05-2022
7,,Hailakandi,850.00-Pkt,,80.00-Pkt,,,,,,,18-05-2022
8,,Hojai,"1272.00-L, 0.00-Q",,"0.00-Pkt, 0.00-Q",,Chira -20.40-Q; Gur-3.84-Q; Water bottle-330.00-L; Amul Taza-311.00-L,,,,,18-05-2022
9,,Kamrup,0.00-Q,,0.00-Q,,,,,,,18-05-2022
10,,Karbi Anglong West,0.00-Q,,0.00-Q,,,,,,,18-05-2022
11,,Karimganj,10.00-Pkt,,"82.00-Pkt, 0.00-Q",,chira-11.85-Q; Gur-2.15-Q,,,,,18-05-2022
12,,Nagaon,"0.00-Q, 100.00-Pkt",,"250.00-ml, 100.00-Pkt",,CANDLE-61.00-Pkt; MAXO COIL-61.00-Pkt; 0-0.00-Pieces,,,,,18-05-2022
13,,Sonitpur,0.00-Q,,0.00-Q,,,,,,,18-05-2022
14,,Udalguri,"0.00-Q, 34.00-Pkt",,"217.00-Pkt, 0.00-Kg, 0.00-Q",,Sanitary Pad-1339.00-Pkt; 0-0.00-Pkt; CANDLE-25.00-Pkt; MATCHES-49.00-Pieces; Candle-3.00-Pkt; Matches box-1.00-Pkt,,,,,18-05-2022
