,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,Others,,,,,,Date
0,,Biswanath,0.00-Q,,0.00-Q,Candle-16.00-Pkt; Mosquito Repellent Coil-12.00-Pkt; Match Box-9.00-Pkt; Sanitary Pad-30.00-Pkt; Hand Wash-16.00-Pieces; Soap-25.00-Pieces; Chira-1.67-Q; Jaggery-0.30-Q,,,,,,19-05-2022
1,,Cachar,0.00-Q,,0.00-Q,Cook Food-70.00-Pkt; Mortien-800.00-Pkt; Candle-800.00-Pkt; Match Box-800.00-Pkt,,,,,,19-05-2022
2,,Darrang,0.00-Q,,"0.00-Q, 90.00-Pkt",Tarpaulin-500.00-Pieces,,,,,,19-05-2022
3,,Dhemaji,0.00-Q,,0.00-Q,Tarpaulin-155.00-Pieces,,,,,,19-05-2022
4,,Dibrugarh,0.00-Q,,0.00-Q,,,,,,,19-05-2022
5,,Dima-Hasao,20.00-L,,0.00-Q,,,,,,,19-05-2022
6,,Hailakandi,0.00-Q,,0.00-Q,,,,,,,19-05-2022
7,,Hojai,"0.00-Q, 0.00-Pkt",,"0.00-Q, 1849.00-Kg",Tarpaulins-1350.00-Pieces; Tarpaulin-1060.00-Pieces; Chira-31.88-Q; Gur-5.50-Q; Amul Taza-640.00-L; Water-1245.00-L,,,,,,19-05-2022
8,,Kamrup,0.00-Q,,0.00-Q,,,,,,,19-05-2022
9,,Karbi Anglong West,0.00-Q,,0.00-Q,,,,,,,19-05-2022
10,,Karimganj,"23.00-Pkt, 0.00-Q",,"0.00-Q, 60.00-Pkt",Chira-215.60-Kg; Gur-36.10-Kg; chira-0.55-Q; Gur-0.10-Q,,,,,,19-05-2022
11,,Lakhimpur,0.00-Q,,0.00-Q,,,,,,,19-05-2022
12,,Nagaon,"0.00-Q, 100.00-Pkt",,"0.00-Q, 50000.00-ml, 400.00-Pkt",0-0.00-Pkt,,,,,,19-05-2022
13,,Nalbari,0.00-Q,,0.00-Q,,,,,,,19-05-2022
14,,Sonitpur,0.00-Q,,0.00-Q,,,,,,,19-05-2022
15,,Udalguri,"0.00-Q, 526.00-Pkt",,"0.00-Q, 224.00-Pkt",Sanitary Pad-345.00-Pkt; 00-0.00-Q,,,,,,19-05-2022
