,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Bajali,0.00-Q,,3956.00-Pkt,,Tarpaulin-26950.00-Pieces; Candle-35.00-Pkt; Match Box-40.00-Pkt,,,,,23-06-2022
1,,Baksa,0.00-Q,,0.00-Q,,,,,,,23-06-2022
2,,Barpeta,0.00-Q,,"0.00-Q, 220.00-Pkt",,Tarpaulin-8500.00-Pieces; Tarpalulin-840.00-Pieces; Bathing soap-1000.00-Pieces; phenyl-480.00-Pieces,,,,,23-06-2022
3,,Bongaigaon,"934.00-Pkt, 0.00-Q",,"0.00-Q, 70.00-Pkt",,Chira-216.00-Kg; Mother horlicks-16.00-Pkt; Jaggery-43.20-Kg; Mosquito net-330.00-Pieces; Solar Light -40.00-Pieces; Tarpaulin -110.00-Pieces,,,,,23-06-2022
4,,Cachar,0.00-Q,,0.00-Q,,Candle-2700.00-Pkt; Mortein-1560.00-Pkt; Biscuit-2001.00-Pkt,,,,,23-06-2022
5,,Chirang,"0.00-Q, 64.20-Kg",,"96.00-Pkt, 0.00-Q",,Tarpaulin-59.00-Pieces; Mosquito Net-158.00-Pieces; Sooji-64.20-Kg; Sugar-16.05-Kg,,,,,23-06-2022
6,,Darrang,0.00-Q,,"330.00-Pkt, 0.00-Q",,Taurpaulin-2000.00-Pieces; tarpaulin-1840.00-Pieces; candles-200.00-Pkt,,,,,23-06-2022
7,,Dhemaji,0.00-Q,,0.00-Q,,,,,,,23-06-2022
8,,Dhubri,0.00-Q,,"0.00-Q, 3.00-Pkt",,Polyethylene sheet -4350.00-Pieces; HTW-3.00-Pieces; NO OF WATER POUCHES DISTRIBUTED-5000.00-Pkt; NO OF,,,,,23-06-2022
9,,,,,,HALOGEN TABLET DISTRIBUTED-1200.00-Pieces; Tarpoline sheet-3500.00-Pieces; Horliks-6.00-Pkt; Sanitary Napkin-40.00-Pkt; Tarpaulin-5000.00-Pieces; chira-19.12-Q; gur-3.57-Q; TARPAULIN-216.00-Pieces; MATCH BOX-156.00-Pkt; MOSQUITO COIL-331.00-Pkt; SANITARY NAPKIN-307.00-Pkt; CANDLE-331.00-Pkt,,,,,,23-06-2022
10,,Dibrugarh,"0.00-Pkt, 0.00-Q",,"5091.00-Pkt, 0.00-Q",,,,,,,23-06-2022
11,,Dima-Hasao,0.00-Q,,0.00-Q,Milk-21.00-L; Potato-117.00-Kg; Onion-21.00-Kg; Biscuit-159.00-Pkt; Candle-75.00-Pkt; Match Box-33.00-Pkt; Mosquito Repellent-33.00-Pkt; Phenyl-4.00-Pieces; Dettol-5.00-Pieces,,,,,,23-06-2022
12,,Goalpara,1503.00-Pkt,,4509.00-Pkt,Chira-1.18-Q; Gur-0.59-Q; Tarpaulin-1000.00-Pieces,,,,,,23-06-2022
13,,Golaghat,0.00-Q,,0.00-Q,Tarpaulin-40.00-Pieces,,,,,,23-06-2022
14,,Hailakandi,"450.00-Pkt, 0.00-Q",,0.00-Q,Candle-500.00-Pkt; Sanitary Napkin-410.00-Pkt; Match Box-500.00-Pkt; Disposal Plate-600.00-Pieces; Disposal Glass-600.00-Pieces; Soap-500.00-Pieces; Tarpaulin-475.00-Pieces; Water Purification Tablets-25800.00-Pieces; Water Packets-15000.00-Pkt,,,,,,23-06-2022
15,,Hojai,0.00-Q,,0.00-Q,Sanitary Pad-270.00-Pkt; Water -5976.00-L; Candles-254.00-Pkt; Phenyl-265.00-Pkt; Bleaching powder-122.00-Pkt; Amul Taza-1069.00-L; Water-2328.00-L; Candle-93.00-Pkt; Bleaching Powder-76.00-Pkt; Phenyl-82.00-Pieces; Sanitary Pad-135.00-Pkt; Chira-6.00-Q; Gur-1.00-Q; Bleaching Powder-11.00-Pkt,,,,,,23-06-2022
16,,Kamrup,"0.00-Pkt, 0.00-Q",,"39.00-Pkt, 0.00-Q",Water Pouch-10000.00-Pkt; Broom & Floor Wiper-2.00-Pieces; Mosquito Coil-1000.00-Pkt; 0-0.00-Q,,,,,,23-06-2022
17,,Kamrup (M),0.00-Q,,0.00-Q,0-0.00-Q,,,,,,23-06-2022
18,,Karbi Anglong West,0.00-Q,,0.00-Q,,,,,,,23-06-2022
