Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP",NO.EE-JSD-BMR-2023-9836-56 dt 8-2-2023,2023_HPIPH_68462_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,08-Feb-2023 05:50 PM,17-Feb-2023 11:30 AM,09-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,,,09-Feb-2023 10:00 AM,16-Feb-2023 05:00 PM,28-Feb-2023 02:00 PM,"97,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,800.0,Nil,Nil,No,Executive Engineer Jal Shakti Division Bharmour,Executive Engineer Jal Shakti Division Bharmour,Remodelling of LIS (FIS) Garola in GP Garola Tehsil Bharmour Distt Chamba SH construction of RCC intake 1 No RCC outlet 13 Nos cutting Excavation laying jointing and testing of HDPE pipe etc,Remodelling of LIS (FIS) Garola in GP Garola Tehsil Bharmour Distt Chamba SH construction of RCC intake 1 No RCC outlet 13 Nos cutting Excavation laying jointing and testing of HDPE pipe etc,Please refer Tender documents.,,"48,69,999",Civil Works,,Tender,120.0,180.0,Executive Engineer Jal Shakti Division Bharmour,176315.0,,,,Executive Engineer Jal Shakti Division Bharmour,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Cost of tender form,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Registration with Jal Shakti Vibhag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST EPF PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Income tax clearance certificate and all other condition as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
