Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HP Power Transmission Corporation limited||Projects||DGM (Kullu)||PIU Sarabai,HPPTCL/PIU SARABAI/TENDERS/SMS/2025-26/20,2026_HPPTC_126197_1,Yes,Open Tender,Item Rate,Works,1.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical/Finance,.rar,Technical Documents as per Eligibilty,20-Jan-2026 09:00 AM,30-Jan-2026 11:30 AM,20-Jan-2026 09:30 AM,29-Jan-2026 05:00 PM,,,20-Jan-2026 10:00 AM,29-Jan-2026 05:00 PM,"9,950",No,fixed,,Senior Manager (Projects),PNB Bajaura,1,DD - Demand Draft,"1,180",Senior Manager (Projects) PIU Sarabai,PNB Bajaura,No,Senior Manager (Projects),"HPPTCL, PIU Sarabai, Tehsil Bhunter, Distt. Kullu H.P. 175125",HPPTCL/PIU SARABAI/TENDERS/SMS/2025-26/20,"Deployment of Po-clain Machineries for removal of silt, boulders and other material accumulated in Phojal River along 220.33 Kv GIS Substation Phojal, Tehsil Kullu Distt Kullu HP",Please refer Tender documents.,,"4,97,078",Civil Works - Others,,Tender,90.0,30.0,220.33 kV GIS Substation Phojal,175129.0,,,,PIU Sarabai,No,No,AOC
,,,,,,,,,,,,,,,,.xls,Price Schedule,,,,,,,,,,,,,,,2,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,AOC
