Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,PW-SE-IV-CTR-2025- 12685-12705 dated 03-11-2025,2025_PWD_120583_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender and  original submitted on 29-11-2025upto  1100Hrs,15-Nov-2025 10:30 AM,09-Dec-2025 11:30 AM,15-Nov-2025 10:30 AM,08-Dec-2025 04:00 PM,,,15-Nov-2025 10:30 AM,08-Dec-2025 04:00 PM,26-Dec-2025 11:00 AM,"49,56,800",Yes,fixed,,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,1.0,Date,Date,,1.0,DD - Demand Draft,"30,000",Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,No,Superintending Engineer 4th Circle HPPWD Shimla,Superintending Engineer 4th Circle HPPWD Shimla,Strengthening and Widening of Kufri to Chail road Km 0/000 to 25/000,"Formation Cutting ,R/wall ,B/Wall , X Drainage, i/c Wing wall , V-shape Drain ,Sign boards and Parapets, Box , Slab Culvert , M/T Work  at Rd 0/00 to 14/000).(Under  CRIF -HP-2024-25/194",As per SBD,,,Civil Works,,Tender,75.0,730.0,Shimla,171003.0,,,,Superintending Engineer 4th Circle HPPWD Shimla,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,The Earnest Money and original submitted on 29-11-2025 1100Hrs,,,,,,,,,,,,,,,,2.0,BG,Other,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"GST Registration, EPF certificate",,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work Done/work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in Section 6 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correct in all respect as per clause 4.4 B(a)(ii)of ITB and Format in Sec. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Bidding Capacity/ C.A. Annual Report as per clause 4.4A(a) of ITB, Section 2 in SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,12.	Reports on the financial standing such as profit and loss statements and Form 26 AS for past 5 y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Profit Loss statement for last 5 financial years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Detail of technical person qualification as clause 4.2 (e) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bid Validity for minimum 75 days after last date of submission of technical bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Detail of qualification as per section 2 of ITB Form 4.2 (a) to (l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bank Credit certificate facilities(10 percent of the contract value)(not more than 3 months old),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Authority to seek information / references from the bidder bankers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Detail of qualification information as per Section 3 from 1.1 to 1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,22.	An affidavit required regarding works in hand  as per Clause 4.2(L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
