Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,Elect. Division HPPWD Palampur,2025_PWD_97525_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,08-Jan-2025 05:00 PM,15-Jan-2025 11:30 AM,08-Jan-2025 05:00 PM,15-Jan-2025 11:00 AM,,,08-Jan-2025 05:00 PM,15-Jan-2025 11:00 AM,17-Jan-2025 11:30 AM,"33,600",No,fixed,,Nil,Nil,1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer,Elect. Division HPPWD Palampur,"R/M of EI to various Govt. N/R buildings in Dr.RPGMC Tanda (SH- R/O of 500 bedded Hospital in Gen. Ward, Sp/Pvt. Ward, Faculty Block, MS Office, Treatment Block 5, Service Block 4, Emergency and Trauma Center in Casualty Block for the one year)","R/M of EI to various Govt. N/R buildings in Dr.RPGMC Tanda (SH- R/O of 500 bedded Hospital in Gen. Ward, Sp/Pvt. Ward, Faculty Block, MS Office, Treatment Block 5, Service Block 4, Emergency and Trauma Center in Casualty Block for the one year)",Please refer Tender documents.,,"17,36,896",Electrical Works,,Tender,120.0,365.0,Kangra at Tanda in Distt. Kangra,176001.0,,,,Palampur,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Valid registration certificate in HPPWD Elect. or OEM authorization as per tender document page-147,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Labour Licence issued by the competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"GST, EPF registration certificate and Latest ITR filed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work done certificate as per tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Declaration by the bidder duly filled and signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
