,human lives lost confirmed - death type,District,Total,Flood Death,General Drowning (Non Flood),Landslide,,,,,,Date
0,,Dima-Hasao,1,0,1,0,,,,,,16-06-2022
1,,Goalpara,2,0,0,2,,,,,,16-06-2022
2,,Udalguri,1,1,0,0,,,,,,16-06-2022
3,,Total,4,1,1,2,,,,,,16-06-2022
