,human lives lost confirmed - death type,District,Total,Flood Death,General Drowning (Non Flood),Landslide,,,,,,Date
0,,Cachar,3,3,0,0,,,,,,28-06-2022
1,,Dhubri,1,1,0,0,,,,,,28-06-2022
2,,Morigaon,1,1,0,0,,,,,,28-06-2022
3,,Total,5,5,0,0,,,,,,28-06-2022
