,human lives lost confirmed - death type,District,Total,Flood Death,General Drowning (Non Flood),Landslide,,,,,,Date
0,,Kamrup (M),4,0,0,4,,,,,,14-06-2022
1,,Total,4,0,0,4,,,,,,14-06-2022
