,human lives lost confirmed - death type,District,Total,Flood Death,General Drowning (Non Flood),Landslide,,,,,,Date
0,,Cachar,1,1,0,0,,,,,,20-06-2022
1,,Darrang,3,3,0,0,,,,,,20-06-2022
2,,Dibrugarh,1,1,0,0,,,,,,20-06-2022
3,,Hailakandi,1,1,0,0,,,,,,20-06-2022
4,,Hojai,1,1,0,0,,,,,,20-06-2022
5,,Kamrup,1,1,0,0,,,,,,20-06-2022
6,,Lakhimpur,1,0,1,0,,,,,,20-06-2022
7,,Nagaon,2,2,0,0,,,,,,20-06-2022
8,,Total,11,10,1,0,,,,,,20-06-2022
