,human lives lost confirmed - death type,District,Total,Flood Death,General Drowning (Non Flood),Landslide,,,,,,Date
0,,Barpeta,1,1,0,0,,,,,,29-06-2022
1,,Biswanath,1,1,0,0,,,,,,29-06-2022
2,,Cachar,2,2,0,0,,,,,,29-06-2022
3,,Chirang,2,2,0,0,,,,,,29-06-2022
4,,Darrang,1,1,0,0,,,,,,29-06-2022
5,,Dhemaji,1,1,0,0,,,,,,29-06-2022
6,,Golaghat,1,1,0,0,,,,,,29-06-2022
7,,Kamrup (M),1,0,0,1,,,,,,29-06-2022
8,,Lakhimpur,1,1,0,0,,,,,,29-06-2022
9,,Nagaon,1,1,0,0,,,,,,29-06-2022
10,,Total,12,11,0,1,,,,,,29-06-2022
