,human lives lost confirmed - death type,District,Total,Flood Death,General Drowning (Non Flood),Landslide,,,,,,Date
0,,Cachar,5,5,0,0,,,,,,27-06-2022
1,,Kamrup (M),1,1,0,0,,,,,,27-06-2022
2,,Morigaon,1,1,0,0,,,,,,27-06-2022
3,,Nagaon,1,1,0,0,,,,,,27-06-2022
4,,Total,8,8,0,0,,,,,,27-06-2022
