,human lives lost confirmed - death type,District,Total,Flood Death,General Drowning (Non Flood),Landslide,,,,,,Date
0,,Cachar,2,2,0,0,,,,,,20-05-2022
1,,Lakhimpur,1,1,0,0,,,,,,20-05-2022
2,,Nagaon,1,1,0,0,,,,,,20-05-2022
3,,Total,4,4,0,0,,,,,,20-05-2022
