,human lives lost confirmed - death type,District,Total,Flood Death,General Drowning (Non Flood),Landslide,,,,,,Date
0,,Nagaon,1,1,0,0,,,,,,13-07-2022
1,,Total,1,1,0,0,,,,,,13-07-2022
