,landslide,District,Details,Date
0,,Kamrup,Palashbari - Dakhala | A minor landslide on 19/06/2022. No loss of life or property took place. Report submitted after field verification of Gaon Pradhan. | 0,20-06-2022
1,,Karimganj,"Patherkandi - Mendibari, Kalkalighat, Puran Chandpur, Lakhipur, Duhalia Pt-3, Duhalia Pt-4, Duhalia pt-2, Eral Pt-4 | landslides occured at various parts of the above mentioned villages on 19/06/2022 | 152",20-06-2022
