,landslide,District,Details,Date
0,,Dima-Hasao,"Haflong - Hokai pungchi, lower haflong, bethany, new kunjung on 15th may 2022 | Also dead body of smti Kanchile have been found by F &amp; ES from Haflong with the help from various peole | 100",15-05-2022
1,,Hailakandi,"Hailakandi - Mohanpur Grant under Hailakandi Circle dtd. 14.05.2022 | Casuality- NIL | Total house-3 nos. damaged (1 under construction PMAY house, 1 kutcha house and 1 Hut (severely damaged)) | 5",15-05-2022
