,landslide,District,Details,Date
0,,Kamrup (M),"Guwahati - Kharguli, Devgiri Path | A landslide incident occured on 28/06/2022, no casualty | 0,  Dispur - Bhabinapur, Noonmati | A landslide occured on 29/06/2022 at Bhabinapur, Noonmati. Name of Deceased- Prakash Deka, Age-45 years. S/O- Lt. Ugra Deka of Nanagaon,p.s-Ghorapar, District- Nalbari. Contact No-7896875651 ( son of the deceased) | 1",29-06-2022
1,,Karimganj,"Patherkandi - Dhualia part -2 | Due to Landslide on 18 June 2022 , one Relief camp - Duhalia Extended High School is still opened till today (29 June 2022) Camp inmates in the camp : Male - 3 ; Female - 3; Children - 6 | 0",29-06-2022
