class,age,male,female
0,0 to 1,248.21,214.76
1,1 to 5,951.06,821.44
10,10 to 15,1285.32,1065.02
15,15 to 20,1378.16,1230.99
20,20 to 25,1219.48,1337.99
25,25 to 30,1102.47,1347.65
30,30 to 35,1215.87,1428.78
35,35 to 40,1160.36,1329.8
40,40 to 45,1016.75,1203.46
45,45 to 50,949.59,1123.26
5,5 to 10,1172.59,985.96
50,50 to 55,896.17,1100.03
55,55 to 60,876.01,953.29
60,60 to 65,693.51,735.39
65,65 to 70,546.39,579.66
70,70 to 75,355.11,490.48
75,75 to 80,278.91,371.7
80,80 and over,291.23,503.58
