class,age,male,female
0,0 to 1,214.5,199.25
1,1 to 5,821.87,762.13
10,10 to 15,1113.29,1024.8
15,15 to 20,1261.41,1165.62
20,20 to 25,1382.27,1240.13
25,25 to 30,1319.63,1130.19
30,30 to 35,1267.68,1107.6
35,35 to 40,1119.59,997.19
40,40 to 45,933.77,904.05
45,45 to 50,835.26,805.53
5,5 to 10,991.08,917.25
50,50 to 55,725.27,737.53
55,55 to 60,683.92,582.26
60,60 to 65,456.73,438.84
65,65 to 70,332.3,318.08
70,70 to 75,212.76,236.99
75,75 to 80,154.58,171.76
80,80 and over,142.59,189.51
