class,age,male,female
0,0 to 1,247.32,210.18
1,1 to 5,947.66,803.95
10,10 to 15,1279.33,1024.68
15,15 to 20,1375.91,1194.95
20,20 to 25,1293.32,1239.26
25,25 to 30,1181.96,1243.21
30,30 to 35,1229.74,1252.87
35,35 to 40,1173.07,1181.12
40,40 to 45,1044.91,1066.97
45,45 to 50,929.16,964.17
5,5 to 10,1165.98,962.34
50,50 to 55,840.38,899.49
55,55 to 60,790.24,765.54
60,60 to 65,614.19,612.53
65,65 to 70,470.68,486.01
70,70 to 75,309.87,395.34
75,75 to 80,247.76,297.68
80,80 and over,241.62,379.15
