class,age,male,female
0,0 to 1,1184.7,1040.06
1,1 to 5,4539.35,3978.22
10,10 to 15,6019.17,5339.5
15,15 to 20,6369.59,5923.8
20,20 to 25,6340.01,6240.14
25,25 to 30,6153.55,6157.73
30,30 to 35,6586.78,6451.48
35,35 to 40,5930.29,5850.62
40,40 to 45,4876.93,5350.29
45,45 to 50,4502.7,4861.74
5,5 to 10,5458.81,4855.25
50,50 to 55,4131.07,4719.1
55,55 to 60,3838.33,3863.03
60,60 to 65,2829.49,2913.64
65,65 to 70,2060.86,2170.76
70,70 to 75,1361.18,1725.55
75,75 to 80,1122.48,1375.84
80,80 and over,1081.71,1631.65
