class,age,male,female
0,0 to 1,632.44,555.22
1,1 to 5,2423.28,2123.73
10,10 to 15,3213.27,2850.43
15,15 to 20,3400.34,3162.36
20,20 to 25,3384.55,3331.23
25,25 to 30,3285.01,3287.24
30,30 to 35,3516.28,3444.05
35,35 to 40,3165.82,3123.29
40,40 to 45,2603.49,2856.2
45,45 to 50,2403.72,2595.39
5,5 to 10,2914.13,2591.92
50,50 to 55,2205.33,2519.24
55,55 to 60,2049.05,2062.24
60,60 to 65,1510.5,1555.42
65,65 to 70,1100.17,1158.84
70,70 to 75,726.65,921.17
75,75 to 80,599.22,734.48
80,80 and over,577.46,871.04
