class,age,male,female
0,0 to 1,149.5,126.64
1,1 to 5,572.82,484.38
10,10 to 15,758.42,613.09
15,15 to 20,811.2,720.79
20,20 to 25,763.17,793.15
25,25 to 30,725.03,802.19
30,30 to 35,772.7,821.49
35,35 to 40,712.81,753.92
40,40 to 45,609.16,692.96
45,45 to 50,598.11,653.63
5,5 to 10,689.84,569.63
50,50 to 55,542.08,625.31
55,55 to 60,536.18,532.38
60,60 to 65,404.04,400.64
65,65 to 70,314.65,316.1
70,70 to 75,201.61,246.92
75,75 to 80,153.11,189.04
80,80 and over,142.64,209.92
