District,STATE,TEHSIL,Shape_Leng,Shape_Area,mean,count
MANDI,HIMACHAL PRADESH,KARSOG,132181.265752,563269326.619,0.6623448808609983,10829
MANDI,HIMACHAL PRADESH,KOTLI,43592.5270251,91162223.5845,0.5068595535763583,1132
MANDI,HIMACHAL PRADESH,LAD BHAROL,51376.754498,83008759.2762,0.7318053551933874,1603
MANDI,HIMACHAL PRADESH,NIHIRI,96058.7477532,256533922.52,0.5902221283997671,4936
MANDI,HIMACHAL PRADESH,PADHAR,127773.309389,403779981.299,0.6444399149603699,3785
MANDI,HIMACHAL PRADESH,SANDHOL,52190.6938867,50151879.8523,0.6833693634919605,964
MANDI,HIMACHAL PRADESH,SARK>GH>T,63811.1149858,163069333.256,0.405781804298868,3136
MANDI,HIMACHAL PRADESH,SUNDAR NAGAR,109258.039605,250848848.377,0.7413405961037868,4826
MANDI,HIMACHAL PRADESH,THUN>G,103584.856507,307461923.098,0.5603828742158458,5380
SHIMLA,HIMACHAL PRADESH,CHAUP>L,98249.8836627,301485874.957,0.7586535085350044,5785
SHIMLA,HIMACHAL PRADESH,CHIRG>ON,127653.524402,631168281.701,0.5396899852976044,12126
SHIMLA,HIMACHAL PRADESH,DODRA KWAR,102780.383207,346079791.56,0.44725741654356693,6008
SHIMLA,HIMACHAL PRADESH,JUBBAL,110862.871514,302631160.351,0.7602977145040468,5807
SHIMLA,HIMACHAL PRADESH,KOTKH>I,70894.792535,238491135.678,0.6533294991522642,4571
SHIMLA,HIMACHAL PRADESH,KUMH>RSAIN,85459.5944996,215181953.832,0.7067664345095874,4133
SHIMLA,HIMACHAL PRADESH,KUPVI,68869.3430275,172339855.128,0.6537640766032691,3296
SHIMLA,HIMACHAL PRADESH,NANKHARI,66414.4990542,139296483.731,0.794346557069787,2676
SHIMLA,HIMACHAL PRADESH,NERUA,115952.658588,346849121.16,0.7366539878696338,6662
SHIMLA,HIMACHAL PRADESH,R>MPUR,178819.438228,827431674.133,0.658909115588803,12950
