S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1,154256,ABHIYATRI MUDRAN PRIVATE LIMITED,02-Aug-2022 12:53 PM,Accepted-AOC,Accepted,03-Dec-2022 01:12 PM,Director,Internal,,BHASKAR JYOTI DEKA,03-Dec-2022 12:56 PM,techsummary_40547.pdf (308.54 KB),1,153102,Chandrakanta Press Pvt Ltd,INR,0.0,Director,Internal,,BHASKAR JYOTI DEKA,03-Dec-2022 01:05 PM,finsummary_40547.pdf (1004.63 KB),03-Dec-2022,INR 0.0,21.0,BHASKAR JYOTI DEKA,03-Dec-2022 01:06 PM,Empanelled.pdf (1005.00 KB),Finance,All bids are accepted for evaluation,Ramesh Chandra Sarmah,04-Aug-2022 01:27 PM,,Elementary Education Department||Assam State Textbook Production and Publication Corporation Ltd.,2022_DEE_26240_1,ATC/P/148/22/ 1448,EOI for Empanelment of Printing Press for Textbook Printing,AOC,1.0,SBI Bank,EOI for Empanelment of Printing Press for Textbook Printing,Expression of Interest (EOI) for Empanelment of Printing Press for Textbook Printing,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Empanelment,21.0,21.0,Panbazar,781001.0,NA ,NA ,NA ,ASTPPC Ltd,No ,No,"1,000",Nil,Nil,Yes,1.0,Date,Date,,06-Jul-2022 01:40 PM,03-Aug-2022 02:00 PM,06-Jul-2022 01:40 PM,03-Aug-2022 12:00 PM,NA ,NA ,07-Jul-2022 01:40 PM,03-Aug-2022 12:00 PM,0.0,No,fixed,,Nil,Nil,Elementary Education Department||Assam State Textbook Production and Publication Corporation Ltd.,ATC/P/148/22/ 1448,2022_DEE_26240_1,Yes,Open Tender,EOI,Services,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document Part 1,Managing Director,"Assam State TextBook Production and Publication Corporation Limited Panbazar, Guwahati 781001",AOC
2,154781,ABM PRINTING PRESS,29-Jul-2022 08:32 PM,Accepted-AOC,Accepted,03-Dec-2022 01:12 PM,,,,,,,2,153122,KIAN,INR,0.0,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Document Part 2,,,AOC
3,154717,AHINSA PAPER CONVERTERS,03-Aug-2022 10:40 AM,Accepted-AOC,Accepted,03-Dec-2022 01:12 PM,,,,,,,3,153144,Chitrachal Printers,INR,0.0,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Technical Corrigendum,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,154914,Aman Udyog Pvt.Ltd.,02-Aug-2022 02:56 PM,Accepted-AOC,Accepted,03-Dec-2022 01:12 PM,,,,,,,4,153437,CAPITAL OFFSET PRESS,INR,0.0,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,155034,AMAR JYOTI PRINTERS,02-Aug-2022 08:00 PM,Accepted-AOC,Accepted,03-Dec-2022 01:12 PM,,,,,,,5,153439,B S PUBLICATION,INR,0.0,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,154250,Arunodoy Press,02-Aug-2022 12:55 PM,Accepted-AOC,Accepted,03-Dec-2022 01:12 PM,,,,,,,6,153621,MS UPTODATE BOOK BINDING AND PRINTING OFFSET,INR,0.0,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,154853,A S WEB PROCESS,30-Jul-2022 09:53 PM,Accepted-AOC,Accepted,03-Dec-2022 01:12 PM,,,,,,,7,153706,Jigyas Printers And Publishers,INR,0.0,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,154497,Aurora Fine Arts,01-Aug-2022 07:07 PM,Accepted-AOC,Accepted,03-Dec-2022 01:12 PM,,,,,,,8,153725,Baju Associates,INR,0.0,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,153725,Baju Associates,02-Aug-2022 04:10 PM,Accepted-AOC,Accepted,03-Dec-2022 01:12 PM,,,,,,,9,153744,M/S Sanchipat Multimedia,INR,0.0,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,154801,Balaji Industries Bamunimaidan,30-Jul-2022 02:40 PM,Accepted-AOC,Accepted,03-Dec-2022 01:12 PM,,,,,,,10,154201,City Offset,INR,0.0,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
