,infrastructure damaged - bridge,District,Number,Details,Date
0,,Darrang,1,"Patharighat - Borpothar PWD Bridge | Borpothar | Bridge approach damaged on 15.6.2022 reported by PWD SDO. | (Long - 91.792992, Lat - 26.453377)",15-06-2022
1,,Total,1,,15-06-2022
