,infrastructure damaged - bridge,District,Number,Details,Date
0,,Tamulpur,1,"Tamulpur - RCC Mini Bridge connecting Beltola and Sitkajan | Village No. 1 Dongargaon ( Forest Reserve) | RCC Mini Bridge connecting Beltola and Sitkajan has been damaged due to incessant rain at Village No 1 Dongargaon Dated 14/06/2022. | (Long - 91.648339, Lat - 26.773085)",14-06-2022
1,,Total,1,,14-06-2022
