,infrastructure damaged - bridge,District,Number,Details,Date
0,,Sonitpur,1,"Dhekiajuli - Pwd Bridge approach on NH-15 damaged due to incessent rains near Dhekiajuli town, Prashanti Guest House. dated 19.5.22. aprox area 2 mtr | Near Prshanti guest House |",19-05-2022
1,,Total,1,,19-05-2022
